Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Twitter,Facebook,LinkedIn,Contact Email,Phone Number,Number of Articles,Hub Tags,Full Description,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Exits,Number of Exits (IPO),Accelerator Program Type,Accelerator Duration (in weeks),School Type,School Program,Number of Enrollments,Number of Founders (Alumni),Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Announced Date,Announced Date Precision,Price,Price Currency,Price Currency (in USD),Acquisition Type,Acquisition Terms,IPO Status,IPO Date,Delisted Date,Delisted Date Precision,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO Currency (in USD),Valuation at IPO,Valuation at IPO Currency,Valuation at IPO Currency (in USD),Stock Symbol,Stock Symbol URL,Stock Exchange,Last Leadership Hiring Date,Number of Events,CB Rank (Organization),BuiltWith - Active Tech Count,Apptopia - Number of Apps,Apptopia - Downloads Last 30 Days,G2 Stack - Total Products Active,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),School Method,Index,Organization,Email,Name,Industries_right,Description_right,Founded Date_right,Total Funding Amount_right,Last Funding Date_right,Last Funding Amount_right,Last Funding Amount Currency_right,NIT,NOMBRE EMPRESA,CIIU,EMPRENDEDOR,DEPARTAMENTO,CIUDAD,CORREO ELECTRONICO,TELÉFONO ,Unnamed: 16,Intersección
LA HAUS,https://www.crunchbase.com/organization/la-haus,"Information Technology, Marketplace, Real Estate, Residential","Medellín, Antioquia, Colombia",La Haus is a residential marketplace used to help people find an ideal home.,"1,457",Latin America,$1M to $10M,Active,2017-04-01,day,,,,,For Profit,https://www.lahaus.com,https://twitter.com/LaHausCom,https://www.facebook.com/LaHausco/,https://www.linkedin.com/company/la-haus/,comunidad@lahaus.com,,8,,"La Haus offers an online residential platform designed to help people to find an ideal home. Its platform lists multiple properties to choose from and provides recommendations from real estate specialists on the best alternatives that are completely free, enabling users to get an organized way to find a home and save money. The company was founded in 2017 and is headquartered in Medellín, Antioquia.",,,,,,,,,,,,,,"Commerce and Shopping, Information Technology, Real Estate",5.0,"Jeronimo Uribe, Rodrigo Sanchez-Rios, Rodrigo Sánchez-Ríos, Santiago García, Tomás Uribe",101-250,7.0,Early Stage Venture,2021-01-14,35000000.0,USD,35000000.0,Series B,35000000.0,USD,35000000.0,Series B,57649998.0,USD,57649998.0,58174998.0,USD,58174998.0,"Greenspring Associates, NFX, Spencer Rascoff, Kaszek Ventures, Acrew Capital",3.0,12.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"1,575",62.0,,,10.0,,,,,,,,,1.0,1DOC3,jcardona@1doc3.com,LA HAUS,"Information Technology, Marketplace, Real Estate, Residential",La Haus is a residential marketplace used to help people find an ideal home.,2017-04-01,58200000.0,2021-01-14,35000000.0,USD,900809691.0,LA HAUS S.A.S.,"6820 Actividades inmobiliarias realizadas a cambio de una retribución o por contrata
6810 Actividades inmobiliarias realizadas con bienes propios o arrendados
 ",RODRIGO  SANCHEZ RIOS,ANTIOQUIA,Medellín,jn@jaguarcapital.co; rs@jaguarcapital.co; rodrigosanchez-rios@lahaus.com,3017284; 3183284657,,
ELENAS,https://www.crunchbase.com/organization/elenas,"Beauty, Cosmetics, Direct Sales, E-Commerce","Bogotá, Distrito Especial, Colombia","Elenas is a Latin American social commerce platform, empowering micro-entrepreneurs to start their online store.","2,462",Latin America,,Active,2018-01-01,year,,,,,For Profit,https://elenas.co/,,https://www.facebook.com/ElenasColombia,,,,7,,"Elenas is Latin America's top social commerce platform. Our platform has empowered tens of thousands of women across Colombia to launch online businesses and earn extra income by selling products on WhatsApp, Facebook and other social media sites. Currently, 11 million women across Latin America sell consumer good products through direct sales catalogs and door-to-door sales. Elenas provides a digital solution for them to start an online store, manage clients, and grow their business from home, without having to worry about product sourcing, delivery, or payment collection.",,,,,,,,,,,,,,"Commerce and Shopping, Consumer Goods, Sales and Marketing",2.0,"Thomas Harsch, Zach Oschin",11-50,3.0,Early Stage Venture,2021-03-04,6000000.0,USD,6000000.0,Series A,6000000.0,USD,6000000.0,Series A,8540000.0,USD,8540000.0,8540000.0,USD,8540000.0,"FJ Labs, Polymath Ventures, Meesho, Alpha4 Ventures, Amador Holdings",1.0,6.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"2,632",26.0,,,,,,,,,,,,2.0,ADDI,ssuarez@addi.com,LIFTIT,"Freight Service, Internet, Last Mile Transportation, Logistics, Supply Chain Management, Transportation",Liftit is the leading technology platform to automate and execute last-mile truck deliveries across Latin America.,2017-01-07,39000000.0,2020-07-08,22500000.0,USD,901013959.0,LIFTIT S.A.S.,0004-Transporte y logística,Felipe Betancourt Celis,Bogotá D.C.,Bogotá,hola@liftit.co,3125218310,,
DONDO,https://www.crunchbase.com/organization/crowdswap,,"Bogotá, Distrito Especial, Colombia",Get what you want giving what you have,"3,109",Latin America,,Active,2019-04-01,day,,,,,For Profit,https://dondo.com,https://twitter.com/dondoapp,https://www.facebook.com/dondoapp/,https://www.linkedin.com/company/dondoapp/,jm@crowdswap.com,,12,,,,,,,,,,,,,,,,,4.0,"Carlos Sánchez, Daniel Marulanda, Jesus Marquez, Parker Irving",11-50,2.0,Seed,2021-01-19,2100000.0,USD,2100000.0,Seed,2100000.0,USD,2100000.0,Seed,2100000.0,USD,2100000.0,2100000.0,USD,2100000.0,"Alpha Edison, AME Cloud Ventures, Jerry Yang, Acequia Capital (Acecap), Ryan Smith",1.0,13.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"3,311",7.0,,,,,,,,,,,,3.0,AFLORE,manuel@aflore.co,FRUBANA,"B2B, E-Commerce, E-Commerce Platforms, Logistics, Restaurants",Frubana is a B2B platform of agri-products and packed goods for restaurants and small retailers in LatAm.,2018-06-01,37000000.0,2020-01-07,25000000.0,USD,901109174.0,FRUBANA S A S,"4631 Comercio al por mayor de productos alimenticios
6209 Otras actividades de tecnologías de información y actividades de servicios informáticos
6312 Portales web
7310 Publicidad",	GOMEZ GUTIERREZ FABIAN ENRIQUE,Bogotá D.C.,Bogotá,fabian@frubana.com,3503189910   3225684066   3168302131,,
TPAGA,https://www.crunchbase.com/organization/tpaga,"Financial Services, FinTech, Mobile, Mobile Payments","Bogotá, Distrito Especial, Colombia",Tpaga enables consumers to receive and spend money through their cellphone.,"3,183",Latin America,Less than $1M,Active,2015-08-10,day,,,,,For Profit,https://tpaga.co/,https://twitter.com/tpagaco,https://facebook.com/tpagaco,https://www.linkedin.com/company/9449754,comercial@tpaga.co,,16,,"Tpaga is a mobile wallet for unbanked consumers in Latin America. Currently in Colombia and Mexico. In Latin America, more than 50% do not have credit cards or bank accounts, but what they do have is a cellphone. Tpaga allows consumers to store money via cash kiosk ( 4,000 in our network) and then use it to pay utility bills, cell phone top-up, supermarket and even gas station merchants. We have become the first mobile wallet in Latin America to allow consumers to pay groceries without having a bank account, and allowing unbanked commerces to start receiving payment without have POS systems.",,,1.0,1.0,,,,,,,,,,"Financial Services, Mobile, Payments, Software",3.0,"Andres Gutierrez, Rolf Veldman, Sebastian Ortiz",51-100,11.0,Seed,2021-03-04,,,,Seed,,,,Seed,1770000.0,USD,1770000.0,5070000.0,USD,5070000.0,"Y Combinator, Chris Sang, CP Ventures, Zillionize Angel, Hack VC",1.0,15.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,1.0,"3,388",53.0,,,23.0,,,,,,,,,4.0,AGRAPP,david@agrapp.co,ROBINFOOD,"Food and Beverage, Food Delivery, Restaurants, Retail Technology",RobinFood is an operator of a chain of restaurants used to provide access to quality and affordable homemade food.,2018-03-01,36000000.0,2020-10-02,16000000.0,USD,901131317.0,ROBINFOOD COLOMBIA S.A.S,"5612 Expendio por autoservicio de comidas preparadas
8299 Otras actividades de servicio de apoyo a las empresas n.c.p.
 ","José Guillermo Calderón, Mauricio Lopez",Bogotá D.C.,Bogotá,jose@muy.co; mlopez@muy.co,3209252642,,
AFLORE,https://www.crunchbase.com/organization/aflore,"Credit, Finance, Financial Services, FinTech","Bogotá, Distrito Especial, Colombia",Aflore is a developer of tech-enabled direct sales channel to help informal advisors realize goals through loans and financial products.,"3,449",Latin America,$1M to $10M,Active,2012-01-01,year,,,,,For Profit,http://www.aflore.co/,https://twitter.com/afloreco,https://www.facebook.com/afloreco,https://www.linkedin.com/company/aflore/about/,info@aflore.co,57 300 3227,4,,"Aflore is a financial services company empowering the un-banked of Colombia (65% of the population) to achieve financial goals. Aflore identifies and partners with trusted financial advisors within communities and mobilizes them with support and tools to distribute loans and financial products within their networks.  The company was founded in 2012 and is headquartered in Bogota, Colombia.",,,,,,,,,,,,,,"Financial Services, Lending and Investments",2.0,"Ana Barrera, Manuel Jimenez",51-100,12.0,,2021-02-05,6500000.0,USD,6500000.0,Venture - Series Unknown,6500000.0,USD,6500000.0,Venture - Series Unknown,10550000.0,USD,10550000.0,29092905.0,USD,29092905.0,"Polymath Ventures, Unreasonable Capital, Amador Holdings, Accial Capital, Women's World Banking",3.0,5.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"3,661",47.0,,,10.0,,,,,,,,,5.0,APTUNO,alejandro@aptuno.com,ADDI,"Finance, Financial Services, FinTech",Addi is a technology company that provides credit and banking solutions.,2018-01-01,31300000.0,2020-05-22,15000000.0,USD,901216768.0,ADELANTE SOLUCIONES FINANCIERAS S.A.S - ADDI,"6499 Otras actividades de servicio financiero, excepto las de seguros y pensiones n.c.p.
7490 Otras actividades profesionales, científicas y técnicas n.c.p.
 ","SANTIAGO SUAREZ VALLEJO
	DANIEL VALLEJO ARBELAEZ",Bogotá D.C.,Bogotá,	ssuarez@adelantecredito.com,Fijo: 3462011; 3571170,,
BACKSTARTUP,https://www.crunchbase.com/organization/backstartup,"Accounting, Financial Services, Small and Medium Businesses","Bogotá, Distrito Especial, Colombia",SwaS (Software with a services) that automates and replaces the accountant for Latin Americas SMBs,"3,607",Latin America,Less than $1M,Active,2014-09-08,day,,,,,For Profit,https://backstartup.com/,https://twitter.com/backstartup,https://www.facebook.com/BackStartup,https://www.linkedin.com/company/backstartup,consulta@backstartup.com,,2,,"At Backstartup we want to reinvent the relationship of small businesses with their accounting and finances, and for this reason we've decided to reinvent the Accountant. Our SwaS, completely replaces the Accountant in Small Business, providing them with reports, taxes and financial statements month to month though our online platform. We eliminate manual tasks and human errors by using accounting automation bots and bank integrations and assign our customers a virtual administrative support team that accompanies them to guarantee a comprehensive service experience.  We are pioneers in Latin America, where paper culture is highly entrenched, in moving traditional offline behaviors to a 100% online experience.",,,,,,,,,,,,,,"Financial Services, Other, Professional Services",4.0,"Adriana Villamizar, Cristian Villamizar, Diego A Peñuela, Juana Barco",51-100,4.0,Seed,2021-02-17,1200000.0,USD,1200000.0,Seed,1200000.0,USD,1200000.0,Seed,2065000.0,USD,2065000.0,2105000.0,USD,2105000.0,"MassChallenge, 500 Startups, Alaya Capital Partners, devlabs, Life Is Too Short Capital",1.0,7.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"3,824",44.0,,,33.0,,,,,,,,,6.0,ARUKAY,vicky.ricaurte@gmail.com,AFLORE,"Credit, Finance, Financial Services, FinTech",Aflore is a developer of tech-enabled direct sales channel to help informal advisors realize goals through loans and financial products.,2012-01-01,29100000.0,2021-02-05,6500000.0,USD,900743636.0,AFLORE S.A.S.,"8299 Otras actividades de servicio de apoyo a las empresas n.c.p.
6499 Otras actividades de servicio financiero, excepto las de seguros y pensiones n.c.p.",ANA MARIA BARRERA VALLEJO,Bogotá D.C.,Bogotá,ana.barrera@polymathventures.co; accounting@aflore.co,3003227;  3112710272,,
POLYMATH VENTURES,https://www.crunchbase.com/organization/polymath-ventures,"FinTech, Rental Property, Transportation","Bogotá, Distrito Especial, Colombia",Polymath Ventures is a Digital Venture Group that builds from scratch and scales disruptive tech ventures for Latin America's middle class.,"4,354",Latin America,$1M to $10M,Active,2011-10-01,day,,,,,For Profit,http://www.polymathv.com,http://twitter.com/polymathventure,http://www.facebook.com/polymathv,http://www.linkedin.com/company/3048239,info@polymathv.com,+57 3003227,10,Crunchbase Venture Program,"Polymath Ventures is a digital venture group that fuses business and design-thinking to build high-impact ventures for the emerging markets middle class. Ventures are designed in-house using a proprietary business design methodology, then founding teams are recruited to lead them. Polymath remains deeply involved in our companies throughout their life cycles, providing strategy, operations & design-thinking methodologies support.  Operating since 2012 and with offices in Bogota and Mexico City, Polymath has launched 9 ventures and raised US$30M+ of equity and debt financing across the group.","Incubator, Micro VC",,5.0,12.0,5.0,,,,,,,,,"Financial Services, Real Estate, Transportation",2.0,"Carlos Fernandez de la Pradilla, Wenyi Cai",11-50,4.0,Early Stage Venture,2020-01-01,3700000.0,USD,3700000.0,Series B,3700000.0,USD,3700000.0,Series B,9425000.0,USD,9425000.0,9425000.0,USD,9425000.0,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"4,602",47.0,,,15.0,,,,,,,,,7.0,AVISTA,martin@avista.co,CHIPER,"B2B, E-Commerce, Retail Technology",Chiper is a Colombian e-commerce platform for independent merchants that enables corner stores in Latin America to grow and thrive.,2018-01-01,25000000.0,2020-10-16,12000000.0,USD,901145411.0,CHIPER S.A.S,"4791 Comercio al por menor realizado a través de internet
4711 Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos, bebidas (alcohólicas y no alcohólicas) o tabaco
4631 Comercio al por mayor de productos alimenticios
6201 Actividades de desarrollo de sistemas informáticos (planificación, análisis, diseño, programación, pruebas)",SARRIA GUERRERO OSCAR DAVID,Bogotá D.C.,Bogotá,contabilidad@chiper.co,3102326608    ,,
LIFTIT,https://www.crunchbase.com/organization/liftit-co,"Freight Service, Internet, Last Mile Transportation, Logistics, Supply Chain Management, Transportation","Bogotá, Distrito Especial, Colombia",Liftit is the leading technology platform to automate and execute last-mile truck deliveries across Latin America.,"5,562",Latin America,Less than $1M,Active,2017-01-07,day,,,,,For Profit,https://www.liftit.co/,https://www.twitter.com/liftitapp,https://www.facebook.com/liftit.co,https://www.linkedin.com/company/liftit-app/,hola@liftit.co,+57 317 3695065,8,,"Liftit is a B2B logistics company that connects providers of cargo transportation services with companies or people who need this service. It is a marketplace that connects shippers who need to deliver home goods, electronics, construction materials, and anything that fits into a truck with independent truck drivers who can fulfill those needs. The company's platform is intended to use technological innovation to connect, optimize, measure analyze, and solve problems in the logistics industry. Founded in 2017, Liftit is headquartered in Bogotá, Colombia.",,,,,,,,,,,,,,"Internet Services, Transportation",3.0,"Angel Celis Botto, Brian York, Felipe Betancourt Celis",251-500,3.0,Early Stage Venture,2020-07-08,22500000.0,USD,22500000.0,Series B,22500000.0,USD,22500000.0,Series B,39000000.0,USD,39000000.0,39000000.0,USD,39000000.0,"Western Technology Investment, Monashees, Cambridge Capital, NXTP Ventures, Brian Requarth",3.0,26.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"5,855",57.0,,,,,,,,,,,,8.0,AYENDA,andres@ayenda.co,MERQUEO,"Delivery, E-Commerce, Food and Beverage, Grocery",Merqueo is an online-based grocery delivery in Colombia.,2015-11-01,16000000.0,2019-02-10,14000000.0,USD,900871444.0,MERQUEO S A S,"4631 Comercio al por mayor de productos alimenticios
7310 Publicidad
4791 Comercio al por menor realizado a través de internet
4711 Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos, bebidas (alcohólicas y no alcohólicas) o tabaco","Jose Guillermo Calderon, Miguel Mc Allister, Miguel Mc Allister, Sebastian Noguera Escallón",Bogotá D.C.,Bogotá,arestrepo@merqueo.com,5404058   3184021471  ,,
CHIPER,https://www.crunchbase.com/organization/chiper,"B2B, E-Commerce, Retail Technology","Cundinamarca, Distrito Especial, Colombia",Chiper is a Colombian e-commerce platform for independent merchants that enables corner stores in Latin America to grow and thrive.,"6,199",Latin America,$50M to $100M,Active,2018-01-01,year,,,,,For Profit,https://chiper.co/,,https://www.facebook.com/chiper.colombia,https://www.linkedin.com/company/chipersas,info@chiper.co,+57 310 4719468,19,,"Chiper is Latin America’s top e-commerce platform enabling corner stores in the region to grow and thrive. With over 3,000 customers across Colombia and Mexico, the company has built the largest network of digitized corner stores in Latin America. Through its demand-driven logistics platform, Chiper provides a compelling customer experience to help member stores make smart decisions to optimize performance.",,,,,,,,,,,,,,"Commerce and Shopping, Hardware, Other, Software",3.0,"Carolina Garcia, Jose Jair Bonilla, Oscar Sarria Guerrero",101-250,3.0,Early Stage Venture,2020-10-16,12000000.0,USD,12000000.0,Series A,12000000.0,USD,12000000.0,Series A,25000000.0,USD,25000000.0,25000000.0,USD,25000000.0,"FJ Labs, Monashees, JAM Fund, Kaszek Ventures, Justin Mateen",4.0,9.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"6,525",88.0,,,5.0,,,,,,,,,9.0,BIOCREDIT,oscar@bio.credit,HABI,"Home Renovation, Real Estate, Real Estate Investment, Residential, Software",Habi is a digital platform that aims to simplify the process of buying and selling real estate properties in Colombia.,2019-07-01,15500000.0,2020-08-26,10000000.0,USD,901303824.0,INVERSIONES MCN S.A.S  - HABI,"6810 Actividades inmobiliarias realizadas con bienes propios o arrendados
 ","Brynne Rojas, Sebastian Noguera Escallón",Bogotá D.C.,Bogotá,info@habi.com; marisol@habi.co,3167584531; 3162323937    ,,
HABI,https://www.crunchbase.com/organization/habi-fefd,"Home Renovation, Real Estate, Real Estate Investment, Residential, Software","Bogotá, Distrito Especial, Colombia",Habi is a digital platform that aims to simplify the process of buying and selling real estate properties in Colombia.,"7,387",Latin America,$1M to $10M,Active,2019-07-01,month,,,,,For Profit,https://habi.co/,https://twitter.com/Habi_co_,https://www.facebook.com/habi.col,https://www.linkedin.com/company/habi-co/,info@habi.com,3167584531,2,,"Habi is a technology-driven real estate company that helps middle-class customers buy and sell their homes more quickly and efficiently, without the uncertainty of traditional real estate transactions. Using its proprietary pricing algorithm and scalable processes. It was founded in 2019 and headquartered in Bogotá, Distrito Especial.",,,,,,,,,,,,,,"Financial Services, Real Estate, Software",2.0,"Brynne Rojas, Sebastian Noguera Escallón",11-50,2.0,Early Stage Venture,2020-08-26,10000000.0,USD,10000000.0,Series A,10000000.0,USD,10000000.0,Series A,15500000.0,USD,15500000.0,15500000.0,USD,15500000.0,"FJ Labs, 8VC, Tiger Global Management, Flybridge, HOF Capital",2.0,15.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"7,770",30.0,,,,,,,,,,,,10.0,BOLD,jose@bold.co,LENTESPLUS,"Customer Service, E-Commerce, Eyewear, Health Care, Internet",Lentesplus.com is the leading online contact lens suscription platform for LATAM,2014-01-01,13700000.0,2020-03-20,5200000.0,USD,900624765.0,LENTESPLUS.COM,4791-Comercio al por menor realizado a través de Internet,Diego Javier Mariño Gutierrez,Bogotá D.C.,Bogotá,diego@lentesplus.com,3187034757,,
