Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Twitter,Facebook,LinkedIn,Contact Email,Phone Number,Number of Articles,Hub Tags,Full Description,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Exits,Number of Exits (IPO),Accelerator Program Type,Accelerator Duration (in weeks),School Type,School Program,Number of Enrollments,Number of Founders (Alumni),Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Announced Date,Announced Date Precision,Price,Price Currency,Price Currency (in USD),Acquisition Type,Acquisition Terms,IPO Status,IPO Date,Delisted Date,Delisted Date Precision,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO Currency (in USD),Valuation at IPO,Valuation at IPO Currency,Valuation at IPO Currency (in USD),Stock Symbol,Stock Symbol URL,Stock Exchange,Last Leadership Hiring Date,Number of Events,CB Rank (Organization),BuiltWith - Active Tech Count,Apptopia - Number of Apps,Apptopia - Downloads Last 30 Days,G2 Stack - Total Products Active,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),School Method
MercadoLibre,https://www.crunchbase.com/organization/mercadolibre,"E-Commerce, Internet, Marketing, Marketplace","Buenos Aires, Distrito Federal, Argentina",MercadoLibre hosts online e-commerce and auction platforms that provide users with buying and selling mechanisms for e-transactions.,815,Latin America,$500M to $1B,Active,1999-08-02,day,2007-08-17,day,,,For Profit,http://www.mercadolibre.com,http://twitter.com/mercadolibre,http://www.facebook.com/MercadoLibre,http://www.linkedin.com/company/14226,,+54 11 5352-8000,275,,"MercadoLibre, Inc., through its subsidiaries, hosts online commerce and payments platforms in Latin America. Its services are designed to provide its users with mechanisms to buy, sell, pay for, and collect on e-commerce transactions. The company principally offers MercadoLibre marketplace, an automated online commerce service, located at mercadolibre.com, which permits businesses and individuals to list items and conduct their sales and purchases online in a fixed-price or auction-based format. It also enables registered users in MercadoLibre marketplace to list and purchase motor vehicles, vessels, aircraft, real estate, and services through online classified listings; users and advertisers to place, display, and/or text advertisements on its Web pages to promote their brands and offerings; and Internet users to browse through various products and services that are listed on its Web site and register with MercadoLibre to list, bid for, and purchase items and services. The company also provides MercadoPago, an integrated online payments solution to facilitate transactions both on and off the MercadoLibre marketplace by providing a mechanism that allows its users to send and receive payments online. As of December 31, 2008, it operated online commerce platforms and online payment solutions directed towards Argentina, Brazil, Mexico, Venezuela, Chile, and Colombia, as well as operated online commerce platforms directed towards Costa Rica, the Dominican Republic, Ecuador, Panama, Peru, and Uruguay.",,,,,,,,,,,,,,"Commerce and Shopping, Internet Services, Sales and Marketing",3,"Hernan Kazah, Marcos Galperin, Pablo Moretti",1001-5000,5,IPO,2019-12-03,125000000,USD,125000000,Post-IPO Debt,1800000000,USD,1800000000,Post-IPO Equity,1881600000,USD,1881600000,2006600000,USD,2006600000,"Goldman Sachs, Dragoneer Investment Group, JP Morgan Chase, Tiger Global Management, PayPal",4,10,9,Made Acquisitions,,,,,,,,,,,,Public,2007-08-17,,,289000000,USD,289000000,788400000,USD,788400000,MELI,https://www.crunchbase.com/ipo/mercadolibre-ipo--51d436e2,NASDAQ,,,890,64,8,"6,213,507",68,,,,,,,,
Moova,https://www.crunchbase.com/organization/moova,"Delivery Service, E-Commerce, Information Technology, Last Mile Transportation, Logistics, SaaS, Shipping, Software","Buenos Aires, Distrito Federal, Argentina",The digital platform for urban logistics providers.,"1,919",Latin America,,Active,2018-10-01,day,,,,,For Profit,https://moova.io/,,,https://www.linkedin.com/company/moova-io/,info@moova.io,,51,,"Moova is a technological platform that captures idle logistic capacity and transforms it into high efficiency and low cost shipping solutions. The platform connects E-Commerce and retail businesses with a fleet of independent ""Moovers"" who complete deliveries on their bicycle, motorcycle, car or van to generate an additional source of income. Through route optimization software, real-time traceability, flexible warehousing, and analytics, Moova is propelling the nascent E-Commerce industry in Latin America.",,,,,,,,,,,,,,"Commerce and Shopping, Information Technology, Software, Transportation",2,"Antonio Migliore, Marcos Amaro Detry",51-100,4,,2021-02-10,3600000,USD,3600000,Corporate Round,3600000,USD,3600000,Corporate Round,5435000,USD,5435000,5760000,USD,5760000,"FJ Labs, Movile, Alaya Capital Partners, Kalei Ventures, MatterScale Ventures",3,7,1,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,,,,1,"2,066",43,,,,,,,,,,,
Ualá,https://www.crunchbase.com/organization/uala,"Apps, Banking, Financial Services, FinTech, Personal Finance","Buenos Aires, Distrito Federal, Argentina","Ualá is a fintech platform that offers a prepaid MasterCard card to help users keep track of spending, complete transfers, and more.","3,493",Latin America,$10M to $50M,Active,2017-01-01,year,,,,,For Profit,http://www.uala.com.ar,https://twitter.com/uala_arg,https://www.facebook.com/uala.arg/,https://www.linkedin.com/company/ual%C3%A1/,hola@uala.com.ar,,10,Emerging Unicorn,"Ualá is a fintech platform that offers a prepaid MasterCard card to help users keep track of spending, complete transfers, and more. Its native apps link with a Mastercard that allows users to conduct financial transactions such as online or offline purchases, free P2P and top-ups, as well as other payments, both in Argentina and abroad. The platform's technology and proprietary integrations allow for live transactionality, the first and only PFM solution in the market, and secure instant transfers, among others. Uala also allows users to track expenses through an analysis tool. Some selected users can also request a loan through the app. Ualá is available in Argentina for Android and iOS.",,,,,,,,,,,,,,"Apps, Financial Services, Lending and Investments, Software",1,Pierpaolo Barbieri,251-500,5,Late Stage Venture,2019-11-26,150000000,USD,150000000,Series C,150000000,USD,150000000,Series C,194000000,USD,194000000,194000000,USD,194000000,"SoftBank, Goldman Sachs, General Catalyst, Tencent Holdings, Ribbit Capital",3,15,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,1,"3,706",40,,,,,,,,,,,
VU Security,https://www.crunchbase.com/organization/vu-security,"Biometrics, Cyber Security, Fraud Detection, Identity Management, Internet of Things, Mobile, Mobile Devices, Mobile Payments, Security","Buenos Aires, Distrito Federal, Argentina",VU Security is a cybersecurity company that specializes in fraud prevention and identity protection.,"6,179",Latin America,$10M to $50M,Active,2006-01-01,year,,,,,For Profit,http://www.vusecurity.com,http://twitter.com/vusecurity,http://www.facebook.com/pages/VU-Security/24065706944,http://www.linkedin.com/company/2866313,corporate@vusecurity.com,+541135353300,3,,"VU is a cybersecurity company built to improve the quality of life of both citizens and organizations, building secure digital experiences without friction. Its products combine traditional cybersecurity controls with biometrics, geolocation, machine learning and user behavior analytics without giving up a user-friendly and seamless experience.",,,,,,,,,,,,,,"Biotechnology, Consumer Electronics, Data and Analytics, Financial Services, Hardware, Information Technology, Internet Services, Mobile, Payments, Privacy and Security, Science and Engineering, Software",1,Sebastian Stranieri,101-250,8,,2021-02-11,,,,Venture - Series Unknown,,,,Venture - Series Unknown,7461980,USD,7461980,7461980,USD,7461980,"Wayra, NXTP Ventures, IDB Lab, Agrega Partners, Gaston Bercun",2,5,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,2,"6,503",118,16,"1,482",17,0,1,,Scientific and electric apparatus and instruments,,,,
Despegar,https://www.crunchbase.com/organization/despegar,"Hospitality, Leisure, Reservations, Travel","Buenos Aires, Distrito Federal, Argentina","Despegar is an online B2C travel agency enabling people to research travel plans, book transportation, and book accommodations.","6,808",Latin America,$100M to $500M,Active,1999-01-01,year,2017-09-19,day,,,For Profit,https://www.us.despegar.com/,http://twitter.com/Despegar,https://www.facebook.com/despegarusa,https://www.linkedin.com/company/despegarcom/,,305-577-4919,32,Exited Unicorn,"Despegar operates as an online business-to-consumer travel agency that focuses on the Portuguese and Spanish speaking markets.  It enables people to research travel plans, check flight availability, book airline, and hotel and car rental reservations online, as well as offer travel-related services, including access to airlines, car rental companies, and hotels and vacation packages. The company serves the leisure and corporate travelers. It operates in Argentina, Brazil, Chile, Colombia, Mexico, Uruguay, Venezuela, Spain, and the United States. The company was founded in 1999 and is based in Miami, Florida.",,,,,,,,,,,,,,"Community and Lifestyle, Events, Media and Entertainment, Travel and Tourism",6,"Alejandro Tamer, Christian Vilate, Federico Fuchs, Mariano Fiori, Martin Rastellino, Roberto Souviron",1001-5000,7,IPO,2020-08-21,150000000,USD,150000000,Post-IPO Equity,150000000,USD,150000000,Post-IPO Equity,551500000,USD,551500000,551500000,USD,551500000,"Sequoia Capital, General Atlantic, Tiger Global Management, L Catterton, Merrill Lynch",5,9,2,Made Acquisitions,,,,,,,,,,,,Public,2017-09-19,,,332000000,USD,332000000,1746000000,USD,1746000000,DESP,https://www.crunchbase.com/ipo/despegar-ipo--628b54bb,NYSE - New York Stock Exchange,,,"7,166",20,47,"44,100",11,,,,,,,,
Agrofy,https://www.crunchbase.com/organization/agrofy,"Consumer, E-Commerce, Internet","Rosario, Santa Fe, Argentina",Agrofy is a global pure agriculture e-commerce ecosystem,"9,847",Latin America,$1M to $10M,Active,2015-06-01,day,,,,,For Profit,http://www.agrofy.com,https://twitter.com/AgrofyAR,https://www.facebook.com/Agrofy.AR/,https://www.linkedin.com/company/9476277,,,7,,"Agrofy is an online agrobusiness platform built to boost agribusiness globally through agile and transparent transactions between all the industry participants. built to boost agribusiness globally through agile and transparent transactions between all the industry participants. It operates all the relevant categories for the farmer: machinery, inputs, infrastructure, tools, crops, cattle, insuarance, loans, farmlands, jobs and vehicles. Additionally, Agrofy operates all the relevant categories for the farmer: machinery, inputs, infrastructure, tools, crops, cattle, insurance, loans, farmlands, jobs, and vehicles. The company was founded in 2015, based in Rosario, Argentina.",,,,,,,,,,,,,,"Commerce and Shopping, Internet Services, Other",2,"Alejandro Larosa, Maxi Landrein",101-250,4,Early Stage Venture,2020-10-29,1000000,USD,1000000,Series B,1000000,USD,1000000,Series B,24000000,USD,24000000,24000000,USD,24000000,"Capria Ventures, NXTP Ventures, Fall Line Capital, SP Ventures, GLOCAL",2,6,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"10,323",9,,,,,,,,,,,
Workana,https://www.crunchbase.com/organization/workana,"E-Commerce, Employment, Internet, Outsourcing","Buenos Aires, Distrito Federal, Argentina","Workana is a digital space to connect professionals with small businesses to enterprise, and organizations.","11,248",Latin America,$1M to $10M,Active,2012-01-01,year,,,,,For Profit,http://www.workana.com,http://twitter.com/workana,http://www.facebook.com/workana.es,https://www.linkedin.com/company/workana,support@workana.com,650.488.4966,22,,"Workana is a digital space to connect professionals with small businesses to enterprises, and organizations.  They believe in the talent and ideas of the region, this is why they created Workana, an online platform to connect the best freelancers with the most interesting projects in Latin America. Every day, new ideas are turned into projects that provide great opportunities for freelancers in the region. Hundreds of small businesses and organizations are growing through Workana, the freelancer community in Latin America. Entrepreneurs and creative freelancers, idealists, dreamers, and visionaries, all connected through Workana with something in common by believing in and forging the future of the region. Workana was founded in 2012 and is headquartered in Buenos Aires, Argentina.",,,,,,,,,,,,,,"Commerce and Shopping, Internet Services, Professional Services",4,"Fernando Fornales, Guillermo Bracciaforte, Mariano Iglesias, Tomas O'Farrell",1001-5000,5,Late Stage Venture,2018-04-13,7000000,USD,7000000,Series C,7000000,USD,7000000,Series C,10100000,USD,10100000,10150000,USD,10150000,"SEEK, NXTP Ventures, Google Launchpad Accelerator, dmg ventures, Marcos Galperin",2,12,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,1,"11,769",71,2,"27,597",32,,,,,,,,
Digital House,https://www.crunchbase.com/organization/digital-house,"Corporate Training, Digital Marketing, Education, Information Technology","Buenos Aires, Distrito Federal, Argentina",Digital House is a coding school where new generations of coders and digital professionals are trained.,"12,767",Latin America,$1M to $10M,Active,2015-01-01,year,,,,,For Profit,https://www.digitalhouse.com/,https://twitter.com/_digitalhouse,https://www.facebook.com/digitalhouse.edu/,https://www.linkedin.com/school/digital-house-argentina/,,,3,,"Digital House is a coding school where new generations of coders and digital professionals are trained to imagine, innovate, and create what they always dreamed. It was established in 2015 and is based in Buenos Aires, Argentina.",,,,,,,,,,,,,,"Education, Information Technology, Sales and Marketing",2,"Nelson Duboscq, Sebastian Mackinlay",11-50,2,Early Stage Venture,2017-12-13,20000000,USD,20000000,Series B,20000000,USD,20000000,Series B,20000000,USD,20000000,20000000,USD,20000000,"Endeavor Catalyst, The Rise Fund, Omidyar Network, Kaszek Ventures, Martin Migoya",2,6,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"13,345",77,,,22,,,,,,,,
Afluenta,https://www.crunchbase.com/organization/afluenta,"Consumer Lending, Finance, Financial Services, FinTech, Internet, Marketplace","Buenos Aires, Distrito Federal, Argentina",Afluenta is the first and only Marketplace Lending company for consumer and SME loans operating in more than one country in Latin America.,"13,115",Latin America,$1M to $10M,Active,2010-01-01,month,,,,,For Profit,http://www.afluenta.com/,http://twitter.com/afluenta,http://www.facebook.com/afluenta,http://www.linkedin.com/company/afluenta,acosentino@afluenta.com,+54 11 5219 6655,17,,"Afluenta is the first and only Marketplace Lending company for consumer and SME loans operating in more than one country in Latin America. Within its network, borrowers can access loans at more convenient rates than traditional channels, while its investors enjoy high net yield for their funds. Afluenta successfully launched its services in Argentina where ita lender base achieved net USD yields above +20% in the last three years. We are currently operating in Argentina, Mexico, and Peru with plans to expand to Colombia & Brazil. Its “fullstack” marketplace lending business model is highly efficient and fully automated, including real-time credit assessment and risk scoring, transfers, loan servicing, collections and owned secondary market where investors can buy and sell loans from each other to get liquidity which is fundamental to perform as an MPL.",,,,,,,,,,,,,,"Commerce and Shopping, Financial Services, Internet Services, Lending and Investments",1,Alejandro Cosentino,51-100,6,Late Stage Venture,2019-05-01,3500000,USD,3500000,Series C,3500000,USD,3500000,Series C,25525000,USD,25525000,25525000,USD,25525000,"International Finance Corporation, Elevar Equity, NXTP Ventures, IGNIA, MW EAGLEWOOD",2,6,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,3,"13,711",37,,,12,,,,,,,,
ucrop.it,https://www.crunchbase.com/organization/ucrop-it,"Agriculture, AgTech, Blockchain, FinTech","Buenos Aires, Distrito Federal, Argentina",ucrop.it operates as a blockchain farming and crop traceability platform that delivers certainty across crop cycles.,"13,192",Latin America,,Active,2018-12-28,day,,,,,For Profit,http://ucrop.it/,,,https://www.linkedin.com/company/ucropit/,diego.hoter@ucrop.it,,4,,"ucrop.it operates as a blockchain farming and crops traceability platform that delivers certainty across crop cycles. It connects medium-sized growers with corporate stakeholders from the agro value chain to agree on farming objectives for sustainable crop production, competitive financing, quality crops sourcing, amongst value drivers to achieve improved gross margins for them all. The company was founded in 2018 by Diego Hoter, Matias O’Keefe and Marcos Botta.",,,,,,,,,,,,,,"Agriculture and Farming, Financial Services, Other",4,"Diego Hoter, Marcos Botta, Matias O’Keefe, Pablo Adrian Vaquero",1-10,2,Seed,2020-12-23,1115000,USD,1115000,Seed,1115000,USD,1115000,Seed,1365000,USD,1365000,1365000,USD,1365000,"Closed Loop Partners, The Yield Lab Latin America, Yugen Partners, Red Surcos, Cazenave y Asociados",3,5,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"13,788",23,,,,,,,,,,,
