Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Twitter,Facebook,LinkedIn,Contact Email,Phone Number,Number of Articles,Hub Tags,Full Description,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Exits,Number of Exits (IPO),Accelerator Program Type,Accelerator Duration (in weeks),School Type,School Program,Number of Enrollments,Number of Founders (Alumni),Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Announced Date,Announced Date Precision,Price,Price Currency,Price Currency (in USD),Acquisition Type,Acquisition Terms,IPO Status,IPO Date,Delisted Date,Delisted Date Precision,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO Currency (in USD),Valuation at IPO,Valuation at IPO Currency,Valuation at IPO Currency (in USD),Stock Symbol,Stock Symbol URL,Stock Exchange,Last Leadership Hiring Date,Number of Events,CB Rank (Organization),BuiltWith - Active Tech Count,Apptopia - Number of Apps,Apptopia - Downloads Last 30 Days,G2 Stack - Total Products Active,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),School Method
Cornershop,https://www.crunchbase.com/organization/cornershop,"E-Commerce, Internet, Mobile","Las Condes, Region Metropolitana, Chile",Cornershop is an on-demand grocery delivery service for the Latin American market.,"1,453",Latin America,$50M to $100M,Active,2015-03-10,day,2019-10-11,day,,,For Profit,https://cornershopapp.com/,https://twitter.com/cornershopapp,https://www.facebook.com/CornershopApp/,https://www.linkedin.com/company/cornershop-app,info@cornershopapp.com,,42,,"Cornershop is an on-demand grocery delivery service for the Latin American market. Founded simultaneously in Santiago, Chile and Mexico City in 2015, we now operate in 8 countries across the Americas. In July 2020, Uber acquired a majority stake in the company. This provided an important injection of capital and allows us to access more resources to continue building and improving our service over the upcoming years.  Cornershop Mexico was not part of the transaction and will continue to operate independently while we await approval from the Mexican antitrust authorities (COFECE). Besides technology, we like food puns and are berry dedicated to providing people with an on-demand, easy-to-use, and innovative shopping experience. Join us on our mission to deliver free time to everyone with shopping on their to-do list.",,,,,,,,,,,,,,"Commerce and Shopping, Internet Services, Mobile",3,"Daniel Undurraga, Juan Pablo Cuevas, Oskar Hjertonsson",101-250,4,M&A,2017-05-04,21000000,USD,21000000,Series B,21000000,USD,21000000,Series B,31650000,USD,31650000,31650000,USD,31650000,"Accel, Endeavor Catalyst, Creandum, ALLVP, Grupo Bimbo",3,18,,Was Acquired,Cornershop acquired by Uber,https://www.crunchbase.com/acquisition/uber-acquires-cornershop--ed9db5aa,Uber,https://www.crunchbase.com/organization/uber,2019-10-11,day,,,,Acquisition,,Private,,,,,,,,,,,,,,,"1,571",48,2,"250,227",,,,,,,,,
NotCo,https://www.crunchbase.com/organization/the-not-company,"Artificial Intelligence, Food and Beverage, Food Processing","Santiago, Region Metropolitana, Chile",NotCo is a food technology company that produces plant-based meat and dairy substitutes.,"2,214",Latin America,$1M to $10M,Active,2015-01-01,year,,,,,For Profit,http://www.notco.com/,,https://www.facebook.com/thenotcompany/,https://www.linkedin.com/company/the-not-co-/,whynot@thenotcompany.com,569 6425 6336,18,,"NotCo is a food-tech company that produces plant-based meat and dairy substitutes. It uses artificial intelligence to make plant-based food that looks, smells, functions, and tastes the same as animal-based. The company was founded in 2015 and is headquartered in Santiago, Chile.",,,,,,,,,,,,,,"Artificial Intelligence, Data and Analytics, Food and Beverage, Science and Engineering, Software",3,"Karim Pichara Baksai, Matias Muchnick, Pablo Zamora",101-250,4,Late Stage Venture,2020-09-09,85000000,USD,85000000,Series C,85000000,USD,85000000,Series C,115000000,USD,115000000,115000000,USD,115000000,"General Catalyst, SOSV, IndieBio, L Catterton, Endeavor Catalyst",6,11,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"2,376",4,,,,0,13,,Meats and prepared or preserved foods; dairy products,,,,
Colektia,https://www.crunchbase.com/organization/colektia,"Artificial Intelligence, Financial Services, FinTech, Software","Santiago, Region Metropolitana, Chile","Colektia is a digital platform that helps financial institutions create new digital collections models, based on artificial intelligence.","2,797",Latin America,,Active,2018-01-01,year,,,,,For Profit,https://www.colektia.com,https://twitter.com/colektia,https://www.facebook.com/colektia,https://www.linkedin.com/company/colektia,hello@colektia.com,,5,,"Colektia is a digital platform that helps financial institutions create new digital collections models, based on artificial intelligence. They predict the best communication strategy for companies to contact debtors (best channel / best time / best day) and use robots to do so.  The platform generates portals so that users can generate their payments, refinance and schedule payment promises. Colektia uses predictive models throughout the management process in key stages such as segmentation, validation, and management of management channels. Their artificial intelligence processes allow them to develop the best strategy to achieve greater effectiveness and efficiency in the collection. They integrate new channels such as WhatsApp, Facebook, Twitter, etc., Expanding the management capacity and improving the contact ability. Colektia was founded in 2018 and is headquartered in Santiago, Chile.",,,,,,,,,,,,,,"Artificial Intelligence, Data and Analytics, Financial Services, Science and Engineering, Software",2,"Gabriel Monroy, Oswaldo Monroy",101-250,3,Early Stage Venture,2021-03-01,4200000,USD,4200000,Series A,4200000,USD,4200000,Series A,5080000,USD,5080000,5080000,USD,5080000,"Wayra, Angel Ventures, Mountain Nazca, Fen Ventures, devlabs",3,7,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"2,983",40,,,,,,,,,,,
Betterfly,https://www.crunchbase.com/organization/go-betterfly,"FinTech, Fitness, Health Care, InsurTech","Santiago, Region Metropolitana, Chile",Betterfly is a purpose-driven benefits platform that rewards healthy habits with charitable donations and no-cost life insurance coverage.,"10,938",Latin America,$1M to $10M,Active,2018-01-01,year,,,,,For Profit,https://betterfly.cl,https://twitter.com/gobetterfly,https://www.facebook.com/gobetterfly/,https://www.linkedin.com/company/gobetterfly/,corporate@betterfly.cl,,4,,"Betterfly is a purpose-driven wellbeing and insurance platform that empowers organizations and employees to improve their health and wellbeing while making an impact in their communities. Its unique approach to employee wellbeing rewards good habits with life insurance coverage that grows every day and converts every healthy activity into a charitable donation. It was founded in 2018 and is based in Santiago, Chile.",,,,,,,,,,,,,,"Financial Services, Health Care, Sports",2,"Cristobal della Maggiora, Eduardo della Maggiora",51-100,3,Early Stage Venture,2020-12-30,9000000,USD,9000000,Series A,9000000,USD,9000000,Series A,17500000,USD,17500000,17500000,USD,17500000,"QED Investors, JP Morgan, Bio Ritmo, Alaya Capital Partners, Endeavor",3,9,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"11,439",30,,,,0,3,,Advertising; business,,,,
Justo,https://www.crunchbase.com/organization/get-justo,"E-Commerce, Food Delivery","Santiago, Region Metropolitana, Chile",Justo helps restaurants in Latin America to take online orders directly from their customers and increase their margins,"12,290",Latin America,,Active,2018-10-18,day,,,,,For Profit,https://getjusto.com,,https://www.facebook.com/Getjusto/,https://www.linkedin.com/company/35668854/admin/,contacto@getjusto.com,,6,,Justo is to provide custom-built e-commerce websites for restaurant brands and provide order and delivery for a maximum of 15 percent take — plus the owners get to keep the precious data accrued from the service.,,,,,,,,,,,,,,"Commerce and Shopping, Food and Beverage, Transportation",2,"Nicolás López Jullian, Rodrigo Segal",51-100,4,,2020-12-10,2300000,USD,2300000,Venture - Series Unknown,2300000,USD,2300000,Venture - Series Unknown,2555000,USD,2555000,2555000,USD,2555000,"Y Combinator, Liquid 2 Ventures, Investo, Jaguar Ventures",1,4,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"12,850",18,,,,0,0,,Advertising; business,,,,
ComparaOnline,https://www.crunchbase.com/organization/comparaonline,"Advice, Consulting, Insurance, Lead Generation, Personal Finance","Santiago, Region Metropolitana, Chile",ComparaOnline is a price comparison site for financial and insurance services in Latin America.,"14,194",Latin America,$1M to $10M,Active,2009-01-01,year,,,,,For Profit,http://www.comparaonline.com,,https://www.facebook.com/comparalatam/,https://www.linkedin.com/company/compara/,contact.br@comparaonline.com,+55 113004-5805,21,,"ComparaOnline is a price comparison platform allowing customers to make an informed decision when purchasing complex financial products, while optimizing customer acquisition for financial companies. It is designed for insurance and financial products. ComparaOnline also has experience in sales execution, saving customer`s time, and improving the user experience. It partners with banks and insurance providers. ComparaOnline was launched in 2009 by Sebastian Valin and is based in Santiago.",,,,,,,,,,,,,,"Financial Services, Media and Entertainment, Professional Services, Sales and Marketing",1,Sebastian Valin,251-500,5,Late Stage Venture,2017-09-18,14000000,USD,14000000,Series C,14000000,USD,14000000,Series C,33000000,USD,33000000,33050000,USD,33050000,"Ribbit Capital, International Finance Corporation, Endeavor Catalyst, Kaszek Ventures, Bamboo Capital Partners",4,8,1,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"14,818",73,1,,16,,,,,,,,
Global 66,https://www.crunchbase.com/organization/global-66,"Financial Services, FinTech, Payments","Santiago, Region Metropolitana, Chile",Global 66 is an international online payment platform.,"14,529",Latin America,,Active,2017-01-01,year,,,,,For Profit,https://www.global66.com/,,https://www.facebook.com/soyglobal66/,https://www.linkedin.com/company/global66/,,,1,,Global 66 is an international online payment platform that allows customers to transfer money with rates up.,,,,,,,,,,,,,,"Financial Services, Payments",1,Tomas Bercovich,51-100,1,Seed,2020-08-25,4300000,USD,4300000,Seed,4300000,USD,4300000,Seed,4300000,USD,4300000,4300000,USD,4300000,"Venrex, Genesis Investment Management, Will Armitage, Andrew McKay, Mario Solari",,5,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"15,162",36,,,,,,,,,,,
LATAM Brasil,https://www.crunchbase.com/organization/latam-airlines-group,"Aerospace, In-Flight Entertainment, Logistics, Transportation, Travel","Las Condes, Region Metropolitana, Chile",LATAM Airlines Group S.A. is the new name given to LAN Airlines S.A,"15,133",Latin America,$1B to $10B,Active,1975-11-11,day,1997-11-14,day,,,For Profit,https://www.latam.com/,https://www.twitter.com/latamairlines,https://www.facebook.com/latamairlines,https://www.linkedin.com/company/latam_airlines,,(844) 313-4736,127,,"LATAM Airlines Group S.A. is the new name given to LAN Airlines S.A. as a result of its association with TAM S.A. LATAM Airlines Group S.A. now includes LAN Airlines and its affiliates in Peru, Argentina, Colombia and Ecuador, and LAN Cargo and its affiliates, as well as TAM S.A. and its subsidiaries TAM Linhas Aereas S.A., including its business units TAM Transportes Aereos del Mercosur S.A., TAM Airlines (Paraguay) and Multiplus S.A. This association creates one of the largest airline groups in the world in terms of network connections, providing passenger transport services to about 150 destinations in 22 countries and cargo services to about 169 destinations in 27 countries, with a fleet of 310 aircraft. In total, LATAM Airlines Group S.A. has more than 51,000 employees and its shares are traded in Santiago, as well as on the New York Stock Exchange, in the form of ADRs, and Sao Paulo Stock Exchange, in the form of BDRs.",,,,,,,,,,,,,,"Media and Entertainment, Science and Engineering, Transportation, Travel and Tourism",1,Arturo Merino Benítez,10001+,1,IPO,2019-12-30,1900000000,USD,1900000000,Post-IPO Debt,,,,,,,,1900000000,USD,1900000000,Delta Air Lines,1,1,,,,,,,,,,,,,,Public,1997-11-14,,,,,,,,,LTM,https://www.crunchbase.com/ipo/latam-airlines-group-ipo--64dcf130,NYSE - New York Stock Exchange,,2,"15,787",113,8,"283,507",22,0,68,,"Transport, packaging and storing",,,,
Xepelin,https://www.crunchbase.com/organization/xepelin,FinTech,"Las Condes, Region Metropolitana, Chile",SMB Digital Bank for Latam,"15,767",Latin America,,Active,2019-07-01,day,,,,,For Profit,https://www.xepelin.com/,https://twitter.com/xepelinofficial,https://www.facebook.com/Xepelinofficial/,https://www.linkedin.com/company/xepelinofficial,hola@xepelin.com,,2,,,,,,,,,,,,,,,,Financial Services,2,"Nicolás De Camino, Sebastián Kreis",11-50,2,Seed,2020-10-01,2500000,USD,2500000,Seed,2500000,USD,2500000,Seed,3500000,USD,3500000,3500000,USD,3500000,"FJ Labs, Oskar Hjertonsson, Ideas Impact VC, Manutara Ventures, Daniel Undurraga",2,8,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"16,437",35,,,,,,,,,,,
Fintual,https://www.crunchbase.com/organization/fintual,"Finance, Financial Services, FinTech","Santiago, Region Metropolitana, Chile",Fintual manages the investments of young professionals who wants to invest well.,"17,445",Latin America,,Active,2016-05-01,day,,,,,For Profit,https://www.fintual.com,https://twitter.com/fintual,https://facebook.com/fintual,https://linkedin.com/company/fintual,contacto@fintual.com,,2,,Fintual manages the investments of young professionals who wants to invest well.,,,,,,,,,,,,,,Financial Services,4,"Agustin Feuerhake, Andres Marinkovic, Omar Larre, Pedro Pineda",1-10,3,Seed,2019-04-19,,,,Seed,,,,Seed,920000,USD,920000,920000,USD,920000,"Y Combinator, K50 Ventures, VilCap Investments",,3,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,1,"18,171",43,,,,,,,,,,,
