Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Twitter,Facebook,LinkedIn,Contact Email,Phone Number,Number of Articles,Hub Tags,Full Description,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Exits,Number of Exits (IPO),Accelerator Program Type,Accelerator Duration (in weeks),School Type,School Program,Number of Enrollments,Number of Founders (Alumni),Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Announced Date,Announced Date Precision,Price,Price Currency,Price Currency (in USD),Acquisition Type,Acquisition Terms,IPO Status,IPO Date,Delisted Date,Delisted Date Precision,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO Currency (in USD),Valuation at IPO,Valuation at IPO Currency,Valuation at IPO Currency (in USD),Stock Symbol,Stock Symbol URL,Stock Exchange,Last Leadership Hiring Date,Number of Events,CB Rank (Organization),BuiltWith - Active Tech Count,Apptopia - Number of Apps,Apptopia - Downloads Last 30 Days,G2 Stack - Total Products Active,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),School Method
SAP,https://www.crunchbase.com/organization/sap,"Business Intelligence, Computer, Finance, Software","Walldorf, Baden-Wurttemberg, Germany",SAP is a technology company that develops enterprise application software for companies and industries across diverse sectors.,20,European Union (EU),$1B to $10B,Active,1972-04-01,day,1998-08-14,day,,,For Profit,https://www.sap.com/,http://twitter.com/SAP,http://www.facebook.com/SAP,https://www.linkedin.com/company/sap,sapnetwork@sap.com,+496227747474,"9,191",,"SAP is a technology company that develops enterprise application software for companies and industries across diverse sectors. The company offers solutions covering various lines of businesses, including asset management, commerce, finance, human resources, manufacturing, marketing, sales, services, sourcing and procurement, supply chain, and sustainability as well as research and development, and engineering. It provides enterprise application software to various industries, including consumer, discrete manufacturing, public services, energy and natural resources, financial services, and many other services. In addition, the company offers SAP HANA, a platform that combines database, data processing, and application platform capabilities as well as simplifies application development and processing across big data sources and structures; and SAP HANA Cloud Platform which enables ease and flexibility in building, extending, and integrating business applications available to its partners, customers, and third-party developers. It also provides SAP Business Suite and SAP Business Warehouse as well as custom SAP HANA applications in the company’s cloud data centers. Additionally, the company provides analytic solutions such as enterprise business intelligence, agile visualization, and advanced analytics for information and data needs. It also offers design, rapid deployment, and custom development; support services, software updates, and enhancements; and consulting and training services. SAP was founded in 1972 and is headquartered in Walldorf, Germany.",,,22,27,6,13,13,,,,,,,"Consumer Electronics, Data and Analytics, Financial Services, Hardware, Software",6,"Andreas Neumeier, Claus Wellenreuther, Dietmar Hopp, Hans-Werner Hector, Hasso Plattner, Klaus Tschira",10001+,2,IPO,2019-04-24,1300000000,USD,1300000000,Post-IPO Equity,1300000000,USD,1300000000,Post-IPO Equity,1300000000,USD,1300000000,1301371240,USD,1301371240,"Elliott Management Corp., EASME - EU Executive Agency for SMEs",1,2,48,Made Acquisitions,,,,,,,,,,,,Public,1998-08-14,,,,,,,,,SAP,https://www.crunchbase.com/ipo/sap-ipo--4ef3a81a,NYSE - New York Stock Exchange,2021-01-15,234,22,141,1,,165,,,,,339288278,USD,339288278,
N26,https://www.crunchbase.com/organization/n26,"Banking, Finance, Financial Services, FinTech","Berlin, Berlin, Germany",N26 offers mobile banking in 25 markets.,52,European Union (EU),$50M to $100M,Active,2013-02-01,month,,,,,For Profit,https://n26.com,https://twitter.com/n26/,https://www.facebook.com/N26/,https://www.linkedin.com/company/n26/,hello@n26.com,+49 30 364 286 880,219,Unicorn,"N26 offers mobile banking solutions to customers in the European Union through its subsidiary. It provides international money transfer, investment, overdraft, and cash withdrawal and deposit at stores.  N26 provides mobile banking services for customers. Its mobile banking services offer online banking that include making and handling of current accounts, fixed accounts, and other banking services, letting customers manage and control their banking details via a smartphone application easily. Maximilian Tayenthal and Valentin Stalf founded Papayer in February 2013, which later became N26, with its headquarters in Berlin in Germany.",,,,,,,,,,,,,,"Financial Services, Lending and Investments",2,"Maximilian Tayenthal, Valentin Stalf",1001-5000,10,,2021-02-26,30000000,EUR,36216225,Venture - Series Unknown,30000000,EUR,36216225,Venture - Series Unknown,819009300,USD,819009300,819009300,USD,819009300,"Tencent Holdings, Battery Ventures, Earlybird Venture Capital, Insight Partners, GIC",6,18,,,,,,,,,,,,,,Private,,,,,,,,,,,,,2021-01-26,3,59,54,2,"257,118",28,0,5,,Insurance; financial affairs,,,,
Siemens,https://www.crunchbase.com/organization/siemens,"Consumer Electronics, Electrical Distribution, Electronics, Energy, Energy Efficiency, Innovation Management, Manufacturing, Medical, Software","Munich, Bayern, Germany","Siemens is a multinational engineering and electronics company involved in the fields of industry, energy, transportation and healthcare.",108,European Union (EU),$500M to $1B,Active,1847-01-01,year,2001-03-23,day,,,For Profit,http://www.siemens.com,http://twitter.com/Siemens,http://www.facebook.com/Siemens,http://www.linkedin.com/company/siemens,contact@siemens.com,+49697976660,"5,840",,"Siemens AG, an electronics and electrical engineering company, operates in the industry, energy, and healthcare sectors worldwide. The company, formerly known as Siemens & Halske, was founded in 1847 and is headquartered in Munich, Germany. Siemens' principal activities are in the fields of industry, energy, transportation and healthcare. It is organized into five main divisions: Industry, Energy, Healthcare, Infrastructure & Cities, and Siemens Financial Services (SFS). Siemens and its subsidiaries employ approximately 360,000 people across nearly 190 countries and reported global revenue of approximately 73.5 billion euros for the year of 2011. In the industry sector, the company's portfolio ranges from industry automation and drives products and services to building, lighting, and mobility solutions and services, as well as includes system integration and solutions for plant business. It offers automation and drives, industrial solutions and services, transportation systems, Siemens building technologies, and OSRAM lighting solutions.  In the energy sector, the company provides various solutions for the generation, transmission, and distribution of power, as well as for the extraction, conversion, and transport of oil and gas in the oil and gas industry. Siemens Energy Service delivers service solutions for gas turbines, steam turbines, generators or wind turbines to increase efficiency, reliability and availability throughout the entire lifecycle. From modernizations and upgrades, remote monitoring, lifetime extensions, and condition monitoring to logistical and turnkey service for onshore and offshore wind turbines, Siemens energy services work to achieve maximum success and efficiency. In the healthcare sector, Siemens develops, manufactures, and markets diagnostic and therapeutic systems, devices, and consumables, as well as offers IT systems for clinical and administrative purposes.  Other services include technical maintenance, professional, and consulting services. Siemens AG offers IT solutions and services, primarily information and communications systems. Further, the company provides financial products and services comprising commercial finance, equity and project finance, treasury and investment management, and project and export finance. Siemens AG offers insurance solutions, such as claims management, as well as acts as a broker of company-financed insurances for employees on business trips and foreign assignments.  The company has equity investments in Nokia Siemens Networks B.V., a telecommunications infrastructure company; and BSH Bosch und Siemens Hausgerate GmbH, a household appliance producer.",,,23,26,12,8,8,,,,,,1,"Consumer Electronics, Energy, Hardware, Health Care, Manufacturing, Professional Services, Software, Sustainability",2,"Johann Halske, Werner Siemens",10001+,2,IPO,2018-03-15,4200000000,EUR,5169148062,Post-IPO Equity,4200000000,EUR,5169148062,Post-IPO Equity,4200000000,EUR,5169148062,5178048062,USD,5178048062,US Department of Energy,,1,70,Made Acquisitions,,,,,,,,,,,,Public,2001-03-23,,,,,,,,,SIEMENS,https://www.crunchbase.com/ipo/siemens-ipo--06bba118,NSE - National Stock Exchange of India,,64,120,111,234,"28,163",109,"37,544","2,277",Computing; Calculating,Scientific and electric apparatus and instruments,11685000,USD,11685000,
ATAI Life Sciences,https://www.crunchbase.com/organization/atai-life-sciences-ag,"Biotechnology, Health Care, Life Science, Therapeutics","Munich, Bayern, Germany",ATAI Life Sciences develops innovative mental health treatments that address significant unmet medical needs.,122,European Union (EU),,Active,2018-01-01,year,,,,,For Profit,http://atai.life,https://twitter.com/ATAI_life,https://www.facebook.com/ATAI-Life-Sciences-203838193672014/,https://www.linkedin.com/company/atai-life-sciences/,info@atai.life,,24,,"ATAI is a global biotech company builder that leverages a decentralized, technology- and data-driven platform model to serve millions of people suffering from mental health disorders. The company is committed to acquiring and efficiently developing innovative treatments that address significant unmet medical needs and lead to paradigm shifts in the mental health space. ATAI Life Sciences was founded in 2018 and is based in Munich, Bayern, Germany.",Corporate Venture Capital,"Early Stage Venture, Late Stage Venture, Private Equity, Seed",1,1,,1,1,,,,,,,"Biotechnology, Health Care, Science and Engineering",4,"Christian Angermayer, Florian Brand, Lars Christian Wilde, Srinivas Rao",11-50,8,Late Stage Venture,2021-03-03,157000000,USD,157000000,Series D,157000000,USD,157000000,Series D,279100000,USD,279100000,304100000,USD,304100000,"Bracket Capital, Peter Thiel, Catalio Capital Management, Mike Novogratz, Falcon Edge Capital",8,27,2,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,,,,,136,27,,,,0,4,,Advertising; business,68432,USD,68432,
SoundCloud,https://www.crunchbase.com/organization/soundcloud,"Apps, Audio, Independent Music, Music, Music Streaming","Berlin, Berlin, Germany",SoundCloud is a social sound platform where anyone can create and share sounds.,154,European Union (EU),$100M to $500M,Active,2007-01-01,year,,,,,For Profit,http://www.soundcloud.com/,http://twitter.com/soundcloud,https://www.facebook.com/SoundCloud,https://www.linkedin.com/company/soundcloud/,contact@soundcloud.com,+49 30 467 247 600,"3,077",,"SoundCloud is a social sound platform where anyone can create and share sounds. It allows people to discover and enjoy the largest selection of music from the world’s most diverse creator community. This is made possible by an open platform that directly connects creators and their fans across the globe. Sound creators can use the platform to instantly record, upload, and share sounds across the internet, as well as receive detailed stats and feedback from the SoundCloud community. SoundCloud was launched in 2008 by Alexander Ljung and Eric Wahlforss.",,,,,,,,,,,,,,"Apps, Internet Services, Media and Entertainment, Music and Audio, Software",2,"Alexander Ljung, Eric Quidenus-Wahlforss",251-500,10,,2020-02-11,75000000,USD,75000000,Corporate Round,75000000,USD,75000000,Corporate Round,437820688,USD,437820688,542820688,USD,542820688,"Index Ventures, GGV Capital, Union Square Ventures, Temasek Holdings, IVP",12,17,2,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,,,2020-12-01,6,169,106,2,"4,767,614",76,0,9,,Clothing; footwear; headgear,11397,USD,11397,
Volocopter,https://www.crunchbase.com/organization/volocopter,"Aerospace, Air Transportation, Drones, Robotics, Transportation","Bruchsal, Baden-Wurttemberg, Germany",Volocopter is an urban air mobility company that develops eco-friendly air taxis to transport people.,173,European Union (EU),$10M to $50M,Active,2011-01-01,year,,,,,For Profit,https://volocopter.com,https://twitter.com/volocopter,https://www.facebook.com/volocopter.e.volo,https://www.linkedin.com/company/volocopter,info@volocopter.com,+497251936940,66,,"Volocopter is an urban air mobility service provider that develops battery-powered electric air taxis. It offers a holistic approach to the UAM market by developing a full ecosystem to connect all the vital parts to get the industry off the ground. This includes multipurpose aircraft (VoloCity and VoloDrone), physical and digital infrastructure (VoloPort and VoloIQ), as well as partnerships with global leaders in their respective fields. With VoloCity, the company is developing the fully electric vertical take-off and landing “eVTOL” aircraft in certification to transport passengers safely and quietly within cities. Volocopter leads and cooperates with partners in infrastructure, operations, and air traffic management to build the ecosystem necessary to ‘Bring Urban Air Mobility to Life’. Co-founders Stephan Wolf and Alexander Zosel established the company in Bruchsal, Baden-Wurttemberg in 2011.",,,,,,,,,,,,,,"Consumer Electronics, Consumer Goods, Hardware, Science and Engineering, Software, Transportation",2,"Alexander Zosel, Stephan Wolf",251-500,6,Late Stage Venture,2021-03-03,200000000,EUR,240933956,Series D,200000000,EUR,240933956,Series D,368200000,EUR,427376974,368200000,EUR,427376974,"Intel, BlackRock, Intel Capital, btov Partners, Daimler",5,20,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,195,17,,,14,6,10,Aircraft; Aviation; Cosmonautics,Vehicles,112600,USD,112600,
GetYourGuide,https://www.crunchbase.com/organization/getyourguide,"Consumer Reviews, E-Commerce, Hospitality, Recreation, Tourism, Travel","Berlin, Berlin, Germany","GetYourGuide operates an online platform for booking tours, attractions, and activities worldwide.",225,European Union (EU),$100M to $500M,Active,2009-01-01,year,,,,,For Profit,https://www.getyourguide.com/,https://twitter.com/GetYourGuide/,https://www.facebook.com/GetYourGuide/,https://www.linkedin.com/company/getyourguide-ag/,,+49 30 54445944,223,Unicorn,"GetYourGuide operates an online platform for booking tours, attractions, and activities worldwide. It offers tourist services online via the Internet and mobile applications. The platform sells tours and excursions, activities including cooking classes and tickets to many tourist attractions. GetYourGuide runs a thriving and viral business curating, selling tickets for running walks and other exploration experiences for people touring different parts of the world. The business model for GetYourGuide stipulates that it does not offer its own tours or activities, but rather, acts as a mediator between customers and providers. The service is free for customers, but the provider of the tour has to pay GetYourGuide a percentage of its revenue. GetYourGuide, an online customer review system, enables potential customers to assess the quality of tour providers. Additionally, the platform removes providers who consistently get bad reviews from its inventory. Jochen Mattes, Johannes Reck, Martin Sieber, Pascal Mathis, Tao Tao, and Tobias Rein founded GetYourGuide on June 1, 2009. It has its headquarters in Berlin in Germany with additional offices in North America and Europe.",,,,,,,,,,,,,,"Commerce and Shopping, Sports, Travel and Tourism",4,"Johannes Reck, Martin Sieber, Tao Tao, Tobias Rein",501-1000,11,Late Stage Venture,2021-02-16,80000000,EUR,96705953,Debt Financing,484000000,USD,484000000,Series E,656327559,USD,656327559,886168933,USD,886168933,"Citigroup, Battery Ventures, Temasek Holdings, Deutsche Bank, Spark Capital",12,34,2,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,,,,3,251,87,3,"101,403",59,,,,,10717875,USD,10717875,
Personio,https://www.crunchbase.com/organization/personio,"Employment, Human Resources, Recruiting, SaaS","München, Bayern, Germany",Personio is developing an HR management and recruiting platform for SMEs and startups.,243,European Union (EU),$10M to $50M,Active,2015-08-01,month,,,,,For Profit,https://www.personio.com,https://twitter.com/PersonioHR,https://www.facebook.com/personiohr,https://www.linkedin.com/company/personio/,info@personio.de,+49 89 12501003,22,Unicorn,"Personio offers cloud-based HR management and recruiting solutions and software for startups, and small- and medium-sized enterprises. The company enables its customers to store and manage all employee data and HR processes in one place, including vacation and sick days, approvals, salary, attendance, employee documents, performance, reporting, and employee on-boarding. Its recruiting function comprises applicant tracking, interview scheduling, candidate reviews, and many other features. Personio was established in 2015 and is based in Munich, Germany.",,,,,,,,,,,,,,"Administrative Services, Professional Services, Software",4,"Arseniy Vershinin, Hanno Renner, Ignaz Forstmeier, Roman Schumacher",501-1000,6,Late Stage Venture,2021-01-18,125000000,USD,125000000,Series D,125000000,USD,125000000,Series D,256656467,USD,256656467,256656467,USD,256656467,"Index Ventures, Lightspeed Venture Partners, Northzone, Accel, Picus Capital",5,17,1,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,,,2020-10-31,5,271,55,,,13,,,,,,,,
Allianz,https://www.crunchbase.com/organization/allianz,"Asset Management, Financial Services, Insurance, Intellectual Property","München, Bayern, Germany","Allianz is an integrated financial services company offering a range of products, services, and solutions in insurance and asset management.",340,European Union (EU),$10B+,Active,1890-01-01,year,2002-01-11,day,,,For Profit,http://www.allianz.com,https://twitter.com/Allianz,https://www.facebook.com/allianz,https://www.linkedin.com/company/allianz/,,(498)938-000,796,,"Allianz offers a comprehensive range of insurance and asset management products and services to approximately 78 million customers in more than 70 countries. Their product portfolio includes a wide range of property-casualty and life/health insurance products for both private and corporate customers. They are the leading property-casualty insurer globally and rank among the top five in the life/health insurance business. Most of their insurance markets are served by local Allianz companies while selected business lines are run globally such as Global Corporate Customers, Credit Insurance, Assistance Services, Worldwide Care, Global Automotive, and Reinsurance.",,,16,20,6,3,3,,,,,,,"Financial Services, Professional Services",2,"Carl von Thieme, Wilhelm von Finck",10001+,1,IPO,2018-04-16,85000000,USD,85000000,Post-IPO Equity,85000000,USD,85000000,Post-IPO Equity,85000000,USD,85000000,85000000,USD,85000000,JD.com,1,1,6,Made Acquisitions,,,,,,,,,,,,Public,2002-01-11,,,,,,,,,ALV,https://www.crunchbase.com/ipo/allianz-ipo--a81efe2b,ETR - Deutsche Börse XETRA,,28,377,109,31,"19,335",53,99,174,Footwear,Insurance; financial affairs,14610760,USD,14610760,
CureVac,https://www.crunchbase.com/organization/curevac,"Biopharma, Biotechnology, Therapeutics","Tübingen, Baden-Wurttemberg, Germany",CureVac is a clinical-stage biopharmaceutical company that provides prophylactic and therapeutic application of messenger RNA.,358,European Union (EU),$10M to $50M,Active,2000-01-01,year,2020-08-14,day,,,For Profit,http://www.curevac.com,https://www.twitter.com/CureVacAG,https://www.facebook.com/Curevac-the-RNA-people-1488671064692998/,https://www.linkedin.com/company/curevac/,info@curevac.com,+49707198830,151,Exited Unicorn,"CureVac is a clinical-stage biopharmaceutical company that provides prophylactic and therapeutic application of messenger RNA. The company develops drugs that are based on Messenger RNA (mRNA) as a data carrier to instruct the human body to produce its own proteins capable of fighting a wide range of diseases. mRNA programs include novel mRNA-based cancer immunotherapies and prophylactic vaccines against infectious diseases (RNActive), molecular therapies designed to trigger the body’s own production of therapeutic proteins (RNArt), and RNA encoded antibodies (RNAntibody). Its most advanced product candidate, CV9104, is being developed in Phase IIb for the treatment of prostate cancer.",,,,,,,,,,,,,,"Biotechnology, Health Care, Science and Engineering",3,"Florian von der Mulbe, Ingmar Hoerr, Steve Pascolo",251-500,13,IPO,2021-02-02,450000000,USD,450000000,Post-IPO Equity,450000000,USD,450000000,Post-IPO Equity,1462959376,USD,1462959376,1846241422,USD,1846241422,"Bill & Melinda Gates Foundation, European Investment Bank, GlaxoSmithKline, Qatar Investment Authority, KfW",11,17,,,,,,,,,,,,,,Public,2020-08-14,,,213300000,USD,213300000,2814400000,USD,2814400000,CVAC,https://www.crunchbase.com/ipo/curevac-ipo--a3cd3b02,NASDAQ,2020-08-04,,398,33,,,18,155,34,Medical Or Veterinary Science; Hygiene,Chemical substances,,,,
