Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Twitter,Facebook,LinkedIn,Contact Email,Phone Number,Number of Articles,Hub Tags,Full Description,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Exits,Number of Exits (IPO),Accelerator Program Type,Accelerator Duration (in weeks),School Type,School Program,Number of Enrollments,Number of Founders (Alumni),Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Announced Date,Announced Date Precision,Price,Price Currency,Price Currency (in USD),Acquisition Type,Acquisition Terms,IPO Status,IPO Date,Delisted Date,Delisted Date Precision,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO Currency (in USD),Valuation at IPO,Valuation at IPO Currency,Valuation at IPO Currency (in USD),Stock Symbol,Stock Symbol URL,Stock Exchange,Last Leadership Hiring Date,Number of Events,CB Rank (Organization),BuiltWith - Active Tech Count,Apptopia - Number of Apps,Apptopia - Downloads Last 30 Days,G2 Stack - Total Products Active,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),School Method
OurCrowd,https://www.crunchbase.com/organization/ourcrowd,"Angel Investment, Crowdfunding, FinTech, Funding Platform, Venture Capital","Jerusalem, Yerushalayim, Israel",OurCrowd is a global venture investing platform that empowers institutions and individuals to invest and engage in emerging companies.,9,,$50M to $100M,Active,2013-02-01,day,,,,,For Profit,http://www.ourcrowd.com,https://twitter.com/OurCrowd,http://www.facebook.com/Ourcrowdfund,http://www.linkedin.com/company/ourcrowd-llc,info@ourcrowd.com,(877) 848-0964,516,Crunchbase Venture Program,"OurCrowd was started in 2013, driven by the idea that the business of building startups grows bigger and better when the global 'crowd' gains access to VC-level investment opportunities. Today, OurCrowd is a global venture investing platform that empowers institutions and individuals to invest and engage in emerging companies. The most active venture investor in Israel, OurCrowd vets and selects companies, invests its capital, and provides its global network with unparalleled access to co-invest and contribute connections, talent, and deal flow. OurCrowd builds value for its portfolio companies throughout their lifecycles, providing mentorship, recruiting industry advisors, navigating follow-on rounds, and creating growth opportunities through its network of multinational partnerships.",Venture Capital,,135,232,40,35,35,,,,,,,"Financial Services, Lending and Investments",2,"Jonathan Medved, Steven Blumgart",101-250,5,,2020-11-19,60000000,USD,60000000,Corporate Round,60000000,USD,60000000,Corporate Round,172500000,USD,172500000,172500000,USD,172500000,"United Overseas Bank, UOB Venture, Orix Capital Corporation, Alta Berkeley Venture Partners, Israel Seed Partners",3,15,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,5,10,94,1,769,67,0,5,,Advertising; business,,,,
eToro,https://www.crunchbase.com/organization/etoro,"Finance, FinTech, Marketplace, Trading Platform","Tel Aviv, Tel Aviv, Israel","eToro is a social trading and investment marketplace that allows users to trade currencies, commodities, indices, and stocks.",115,,$50M to $100M,Active,2007-01-01,year,,,,,For Profit,https://www.etoro.com/,http://twitter.com/eToro,http://www.facebook.com/etoro,https://www.linkedin.com/company/etoro/,support@etoro.com,+44-866-350-0881,446,Unicorn,"eToro is a social trading investment network that enables users to watch the financial trading activities of other users, copy them, and make their own trades. The company’s product, OpenBook and WebTrader, allows traders to learn from each other, share live trading information, and capitalize on their collective power. Launched in 2007, the company has registered offices in Cyprus, Israel, and the United Kingdom.",,,1,1,1,,,,,,,,,"Commerce and Shopping, Financial Services, Lending and Investments",3,"David Ring, Ronen Assia, Yoni Assia",501-1000,12,,2020-12-08,50000000,USD,50000000,Secondary Market,,,,Venture - Series Unknown,222700000,USD,222700000,272700000,USD,272700000,"Bracket Capital, Spark Capital, Ping An, Digital Currency Group, Anthemis Group",7,23,3,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,,,,13,127,80,5,"738,917",50,10,1,Computing; Calculating,Advertising; business,,,,
Melio,https://www.crunchbase.com/organization/melio-0bc5,"B2B, Financial Services, FinTech, Payments","Tel Aviv, Tel Aviv, Israel",Melio is a fintech company that gives small businesses a way to digitally manage their business-to-business payments and receivables.,130,,$10M to $50M,Active,2018-07-01,day,,,,,For Profit,https://www.meliopayments.com,https://twitter.com/meliopayments?lang=en,https://www.facebook.com/meliopayments/,https://www.linkedin.com/company/meliopayments/,info@meliopayments.com,,23,Unicorn,"Melio is a fintech company that gives small businesses a way to digitally manage their business-to-business payments and receivables. It was built to help small businesses keep up with business. A B2B payments experience that not only saves time but also significantly improves cash flow. A payment workflow so simple it helps businesses focus on their customers, not their back office. It was founded in 2018 and is based in New York, New York.",,,,,,,,,,,,,,"Financial Services, Other, Payments",3,"Ilan Atias, Matan Bar, Ziv Paz",101-250,4,Late Stage Venture,2021-01-25,110000000,USD,110000000,Series C,110000000,USD,110000000,Series C,254000000,USD,254000000,254000000,USD,254000000,"General Catalyst, Salesforce Ventures, LocalGlobe, Accel, Bessemer Venture Partners",3,10,,,,,,,,,,,,,,Private,,,,,,,,,,,,,2021-01-11,,145,49,,,,,,,,,,,
MyHeritage,https://www.crunchbase.com/organization/myheritage,"Apps, Family, Internet, Social Media","Or Yehuda, Tel Aviv, Israel","MyHeritage is a destination to discover, preserve, and share family history.",248,,$1M to $10M,Active,2003-01-01,year,2021-02-24,day,,,For Profit,http://www.myheritage.com,http://twitter.com/myheritage,http://www.facebook.com/myheritage,https://www.linkedin.com/company/167538/,pr@myheritage.com,844 921 2230,191,,"MyHeritage is the global destination for discovering, preserving and sharing family history. Our platform and DNA kits make it easy for anyone, anywhere to embark on a meaningful journey into their past and treasure their family stories for generations to come. Our powerful technology does the searching for you, revealing fascinating new details about your family history — effortlessly.   The company was founded in 2003 by our CEO – entrepreneur and family historian Gilad Japhet. From a humble garage startup, MyHeritage has grown into a global company with 90 million users across 196 countries. Our 370 employees work out of bright, spacious offices in Israel, North America, and Europe to deliver an exceptional user experience in 42 languages. Guided by our core values of innovation, compassion and diversity, our team undertakes many voluntary community initiatives, using our expertise and technology to reunite families. We are delighted to go the extra mile for our users, offering 24/7 support and striving to create a true sense of community in the world of family history.   In October 2013 MyHeritage was named the most promising Israeli start-up for 2013-14 by ""Globes"" magazine.",,,,,,,,,,,,,,"Apps, Community and Lifestyle, Internet Services, Media and Entertainment, Software",1,Gilad Japhet,251-500,6,M&A,2012-11-28,25000000,USD,25000000,Series E,25000000,USD,25000000,Series E,49000000,USD,49000000,49000000,USD,49000000,"Index Ventures, LocalGlobe, Accel, Bessemer Venture Partners, David Sacks",2,12,6,"Made Acquisitions, Was Acquired",MyHeritage acquired by Francisco Partners,https://www.crunchbase.com/acquisition/francisco-partners-acquires-myheritage--6ecf03c1,Francisco Partners,https://www.crunchbase.com/organization/francisco-partners,2021-02-24,day,,,,Leveraged Buyout,,Private,,,,,,,,,,,,,,,276,125,4,"114,500",42,1,5,Computing; Calculating,Scientific and technological services,,,,
Earnix,https://www.crunchbase.com/organization/earnix,"Analytics, Artificial Intelligence, Finance, Financial Services, Predictive Analytics, Software","Ramat Gan, Tel Aviv, Israel",Earnix is a software platform for pricing analytics and optimization used by insurance and retail banking organizations.,370,,$10M to $50M,Active,2001-01-01,year,,,,,For Profit,http://www.earnix.com,https://twitter.com/earnix_inc,https://www.facebook.com/earnix,https://www.linkedin.com/company/earnix,info@earnix.com,972 3 753 8292 ,11,Unicorn,"Earnix is a software platform for pricing analytics and optimization used by insurance and retail banking organizations. Earnix's Integrated Pricing and Customer Analytics software empowers financial services companies to predict customer risk and demand and their impact on business performance, enabling the alignment of product offerings with changing market dynamics. Earnix combines predictive modeling and optimization with real-time connectivity to core operational systems, bringing the power of analytics-driven decisions to every customer interaction. Banks and insurers rely on Earnix solutions to improve deposit, loan, and insurance policy offerings. Earnix was founded in 2001 by Sammy Krikler and Yoni Cheifetz.",,,,,,,,,,,,,,"Artificial Intelligence, Data and Analytics, Financial Services, Science and Engineering, Software",2,"Sammy Krikler, Yoni Cheifetz",101-250,6,Private Equity,2021-02-21,75000000,USD,75000000,Private Equity,75000000,USD,75000000,Private Equity,97500000,USD,97500000,100500000,USD,100500000,"Insight Partners, Jerusalem Venture Partners (JVP), Vintage Investment Partners, Israel Growth Partners, Viola Credit",2,6,,,,,,,,,,,,,,Private,,,,,,,,,,,,,2020-10-15,2,411,75,,,29,2,3,Computing; Calculating,Scientific and electric apparatus and instruments,,,,
Atera,https://www.crunchbase.com/organization/atera-networks-ltd,"Information Technology, Internet, IT Management, SaaS, Software","Tel Aviv, Tel Aviv, Israel",An IT automation platform that combines Remote Monitoring and management & PSA into a powerful solution for MSPs & IT professionals ,408,,$1M to $10M,Active,2011-01-01,day,,,,,For Profit,http://www.atera.com,https://www.twitter.com/ateracloud,https://www.facebook.com/AteraCloud,https://www.linkedin.com/company/atera-networks,info@atera.com,(877) 211 4666,10,,"Atera is the developer of a Data Science-based IT automation platform that combines RMM, PSA, and remote access into one powerful solution. Atera’s all-in-one innovative platform offers MSPs improved operational efficiency, seamless integration, end-to-end management, and disruptive pricing.",,,,,,,,,,,,,,"Information Technology, Internet Services, Software",1,Gil Pekelman,51-100,1,Early Stage Venture,2021-02-23,25000000,USD,25000000,Series A,25000000,USD,25000000,Series A,25000000,USD,25000000,25000000,USD,25000000,K1 Investment Management,1,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,1,452,78,,,42,,,,,,,,
Redefine Meat,https://www.crunchbase.com/organization/redefine-meat,"3D Technology, Food and Beverage, Food Processing","Tel Aviv, Tel Aviv, Israel","Redefine Meat uses 3D printing technology, meat digital modeling, and food formulations to produce animal-free meat.",418,,,Active,2018-01-01,year,,,,,For Profit,https://www.redefinemeat.com/,https://twitter.com/redefinemeat?lang=en,https://www.facebook.com/Redefinemeat/,https://www.linkedin.com/company/redefinemeat/,info@redefinemeat.com,,26,,"Redefine Meat uses 3D printing technology, meat digital modeling, and food formulations to produce animal-free meat. Redefine Meat technology produces animal-free meat with the same appearance, texture, and flavor of animal meat, from natural and sustainable ingredients. Their technology combines proprietary 3D meat modeling, food formulations, and food printing technology to deliver a new category of complex-matrix “meat” in a cost-effective and scalable way.",,,,,,,,,,,,,,"Food and Beverage, Hardware, Software",2,"Adam Lahav, Eshchar Ben-Shitrit",1-10,2,Early Stage Venture,2021-02-16,29000000,USD,29000000,Series A,29000000,USD,29000000,Series A,35000000,USD,35000000,35000000,USD,35000000,"K3 Ventures, CPT Capital, Happiness Capital, Hanaco Venture Capital, Losa Group",3,7,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,463,27,,,,,,,,,,,
Fabric,https://www.crunchbase.com/organization/commonsense-robotics,"E-Commerce, Retail, Robotics, Supply Chain Management","Tel Aviv, Tel Aviv, Israel",Fabric is a company that builds a supply-chain allowing retailers to offer sustainable delivery service to their online customers.,453,,$1M to $10M,Active,2015-01-01,year,,,,,For Profit,https://getfabric.com/,https://twitter.com/fabriclogistics,https://www.facebook.com/Fabriclogistics/,http://linkedin.com/company/fabriclogistics/,info@cs-robotics.com,,83,,"Fabric is building an on-demand supply-chain that allows retailers to offer sustainable, 1-hour delivery service to their online customers. Its Micro-Fulfillment-Center is an urban, automated fulfillment solution that combines the benefits of local distribution with the economics of automated fulfillment, and is re-defining the way goods are fulfilled and delivered within cities. By utilizing a novel approach to this last-mile challenge and state-of-the-art robotics and AI, Fabric allows its clients to offer true on-demand services, dramatically reduce their operational costs and benefit from superior operational scalability.",,,,,,,,,,,,,,"Commerce and Shopping, Hardware, Science and Engineering, Software, Transportation",4,"Elram Goren, Eyal Goren, Ori Avraham, Shay Cohen",101-250,4,Early Stage Venture,2020-02-25,110000000,USD,110000000,Series B,110000000,USD,110000000,Series B,136000000,USD,136000000,136000000,USD,136000000,"Temasek Holdings, Aleph, Playground Global, Canada Pension Plan Investment Board, Corner Ventures",4,9,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,501,11,,,21,5,0,Conveying; Packing; Storing; Handling Thin Or Filamentary Material,Machines and machine tools,,,,
ironSource,https://www.crunchbase.com/organization/ironsource,"App Discovery, App Marketing, Apps, Mobile Advertising, Mobile Apps, Mobile Devices","Tel Aviv, Tel Aviv, Israel",ironSource is a leading business platform enabling mobile content creators to prosper in the app economy.,481,,$100M to $500M,Active,2010-01-01,year,,,,,For Profit,https://www.ironsrc.com/,https://twitter.com/ironSource,https://www.facebook.com/ironSource/,http://www.linkedin.com/company/ironsource/,info@ironsrc.com,+972 7 733 10041,182,Unicorn,"ironSource is a leading business platform enabling mobile content creators to prosper in the app economy. Our mission is to help app developers turn their apps into scalable and sustainable, with the most robust, comprehensive business platform available. Ultimately, we help customers focus on what they do best - creating great apps and user experiences - while we enable their business expansion in the app economy.",,,,,,,,,,,,,,"Advertising, Apps, Consumer Electronics, Hardware, Mobile, Sales and Marketing, Software",9,"Arnon Harish, Eyal Milrad, Gil Shoham, Itay Milrad, Nethanel Shadmi, Omer Kaplan, Roi Milrad, Tamir Carmi, Tomer Bar Zeev",501-1000,4,Private Equity,2019-10-03,450000000,USD,450000000,Private Equity,450000000,USD,450000000,Private Equity,555000000,USD,555000000,555000000,USD,555000000,"CVC Capital Partners, Redline Capital, Viola Ventures, Access Industries, Saban Capital Group",4,6,6,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,,,,13,531,51,10,"2,992",44,1,12,Computing; Calculating,Scientific and electric apparatus and instruments,,,,
Fiverr.com,https://www.crunchbase.com/organization/fiverr,"Collaborative Consumption, Marketplace, Outsourcing, Task Management","Tel Aviv, Tel Aviv, Israel",Fiverr is a marketplace for creative and professional services.,508,,$100M to $500M,Active,2010-02-01,day,2019-06-13,day,,,For Profit,http://www.fiverr.com,http://twitter.com/fiverr,http://www.facebook.com/fiverr,https://www.linkedin.com/company/fiverr-com,feedback@fiverr.com,,152,,"Fiverr is a freelance services platform. It is a marketplace for creative and professional services, currently listing over 3 million gigs in more than 100 different categories across 196 countries.  Fiverr is one of the top 400 websites in the world according to Alexa.com. It was founded in 2010.",,,,,,,,,,,,,,"Commerce and Shopping, Other, Professional Services, Software",3,"Ajiboye Dapomola Simeon, Micha Kaufman, Shai Wininger",101-250,6,IPO,2018-11-23,,,,Series E,,,,Series E,111000000,USD,111000000,111000000,USD,111000000,"Accel, Bessemer Venture Partners, Lightbank, Square Peg Capital, Qumra Capital",3,8,4,Made Acquisitions,,,,,,,,,,,,Public,2019-06-13,,,111000000,USD,111000000,800000000,USD,800000000,FVRR,https://www.crunchbase.com/ipo/fiverr-ipo--491ebad1,NYSE - New York Stock Exchange,,10,560,94,2,"562,771",57,0,11,,Advertising; business,,,,
