Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Twitter,Facebook,LinkedIn,Contact Email,Phone Number,Number of Articles,Hub Tags,Full Description,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Exits,Number of Exits (IPO),Accelerator Program Type,Accelerator Duration (in weeks),School Type,School Program,Number of Enrollments,Number of Founders (Alumni),Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Announced Date,Announced Date Precision,Price,Price Currency,Price Currency (in USD),Acquisition Type,Acquisition Terms,IPO Status,IPO Date,Delisted Date,Delisted Date Precision,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO Currency (in USD),Valuation at IPO,Valuation at IPO Currency,Valuation at IPO Currency (in USD),Stock Symbol,Stock Symbol URL,Stock Exchange,Last Leadership Hiring Date,Number of Events,CB Rank (Organization),BuiltWith - Active Tech Count,Apptopia - Number of Apps,Apptopia - Downloads Last 30 Days,G2 Stack - Total Products Active,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),School Method
Jüsto,https://www.crunchbase.com/organization/jüsto,"Consumer Goods, Delivery, E-Commerce, Food and Beverage, Grocery","Mexico City, Distrito Federal, Mexico",Jüsto is an online delivery-only supermarket chain.,258,Latin America,,Active,2019-05-01,month,,,,,For Profit,https://justo.mx/,https://twitter.com/justo_mx,https://www.facebook.com/justomx,https://www.linkedin.com/company/justomx/,help@justo.mx,525534189427,10,,"Jüsto is an online delivery-only grocery store chain that offers a wide range of fruits, vegetables, meat products, beauty products, and house supplies that can be delivered at every consumers' doorstep. The company was founded in 2019 and is based in Mexico City.",,,,,,,,,,,,,,"Administrative Services, Commerce and Shopping, Consumer Goods, Food and Beverage",2,"Ricardo Martinez Finger, Ricardo Weder",251-500,4,Early Stage Venture,2021-02-09,65000000,USD,65000000,Series A,65000000,USD,65000000,Series A,92000000,USD,92000000,92000000,USD,92000000,"General Atlantic, 500 Startups, Foundation Capital, AgFunder, Quiet Capital",3,18,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,286,20,,,,,,,,,,,
Flink,https://www.crunchbase.com/organization/flink-0499,"Banking, Financial Services, FinTech, Trading Platform","Mexico City, Distrito Federal, Mexico","Flink is a consumer trading platform that allows its users to save, spend, and invest their money.",352,Latin America,Less than $1M,Active,2017-06-30,day,,,,,For Profit,https://miflink.com,https://twitter.com/miflink,https://www.facebook.com/flinkers,https://www.linkedin.com/company/10281758,contacto@miflink.com,55 86 62 06 65,9,,"Flink is a consumer trading platform that allows its users to save, spend, and invest their money. Founded in 2017 in Mexico City, it is a fintech company that intends to put the new funding to work improving its product, infrastructure, and security, as well as building a team to address scale. Flink launched its first brokerage product in June 2020 and now has more than 1 million users and 800,000 brokerage accounts, with 90 percent of users being first-time traders.",,,,,,,,,,,,,,"Financial Services, Lending and Investments",2,"Ricardo Rafael Bueno, Sergio Jimenez",11-50,4,Early Stage Venture,2021-02-04,12000000,USD,12000000,Series A,12000000,USD,12000000,Series A,13000000,USD,13000000,13000000,USD,13000000,"Accel, Raptor Group, ALLVP, Clocktower Technology Ventures, Kevin Efrusy",2,8,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,391,25,,,10,,,,,,,,
Bitso,https://www.crunchbase.com/organization/bitso,"Bitcoin, Cryptocurrency, Finance, Financial Exchanges, Financial Services, FinTech","Mexico City, Distrito Federal, Mexico",Bitso is a cryptocurrency exchange platform that allows users to buy and sell bitcoin and other cryptocurrencies.,442,Latin America,$1M to $10M,Active,2014-01-04,day,,,,,For Profit,https://bitso.com,https://twitter.com/bitso,https://www.facebook.com/bitsoex,https://www.linkedin.com/company/bitso-sapi-de-cv,info@bitso.com,+525541646888,30,,"Bitso is Mexico’s first Bitcoin exchange, offering a platform for trading of Bitcoin with Mexican Peso. Bitso offers the highest level of professionalism and security to Bitcoin trading and can be accessed directly at bitso.com. Bitso exchange operates like a traditional currency exchange with a central limit order book.",,,1,1,,,,,,,,,,"Financial Services, Lending and Investments, Payments, Software",3,"Ben Peters, Daniel Vogel, Pablo Gonzalez",101-250,7,Early Stage Venture,2020-12-09,62000000,USD,62000000,Series B,62000000,USD,62000000,Series B,66350000,USD,66350000,66350000,USD,66350000,"MassChallenge, Pantera Capital, FundersClub, Coinbase Ventures, Digital Currency Group",3,12,1,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,,,,,489,88,5,"192,996",44,0,5,,Insurance; financial affairs,,,,
Kavak,https://www.crunchbase.com/organization/kavak,"Automotive, E-Commerce, Online Portals","Mexico City, Distrito Federal, Mexico",KAVAK is the online platform that offers an exceptional experience of buying and selling used cars.,593,Latin America,$1M to $10M,Active,2016-01-01,year,,,,,For Profit,http://www.kavak.com/,https://twitter.com/gokavak/,https://www.facebook.com/kavakmx/,https://www.linkedin.com/company/kavak-com/,hola@kavak.com,(555)351-6292,22,Unicorn,"KAVAK is the online platform that offers an exceptional experience of buying and selling used cars in Mexico, with the best prices on the market and without leaving home.",,,1,1,1,1,1,,,,,,,"Commerce and Shopping, Internet Services, Transportation",2,"Carlos Julio Garcia, Roger Laughlin",11-50,3,Early Stage Venture,2020-09-30,385000000,USD,385000000,Series B,385000000,USD,385000000,Series B,398250000,USD,398250000,398250000,USD,398250000,"Greenoaks Capital, General Atlantic, DST Global, Kaszek Ventures, Mountain Nazca",5,10,1,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,,,,,649,39,,,,,,,,,,,
minu,https://www.crunchbase.com/organization/minu-5be5,"Employee Benefits, Financial Services, FinTech","San Miguel Chapultepec, Mexico, Mexico","minu revolutionizes the financial health of Mexican employees, offering them access to their already worked salary when they need it.",796,Latin America,,Active,2019-01-01,year,,,,,For Profit,https://minu.mx/index.html,,,https://www.linkedin.com/company/minuservicios/,,,1,,"In minu, we are revolutionizing the financial health of Mexican employees, offering them access to their already worked salary when they need it, instead of having to wait for payroll. We work with HR areas of companies that offer the provision of minu to improve satisfaction, retention, and attraction of talent. minu is supported by FinTech's leading institutional investors globally, including QED.",,,,,,,,,,,,,,"Administrative Services, Financial Services, Health Care",2,"Nima Pourshasb, Paolo Rizzi",11-50,4,Early Stage Venture,2021-03-03,11500000,USD,11500000,Series A,11500000,USD,11500000,Series A,21500000,USD,21500000,24000000,USD,24000000,"FJ Labs, Village Global, VEF, QED Investors, FinTech Collective",2,12,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,870,49,,,,,,,,,,,
Stori Card,https://www.crunchbase.com/organization/powerup-technology,"Banking, Credit Cards, Financial Services, FinTech","Mexico City, Distrito Federal, Mexico",Stori Card is a digital financial service provider focused on serving the lower-income population.,"1,410",Latin America,Less than $1M,Active,2017-01-01,year,,,,,For Profit,https://www.storicard.com/,https://twitter.com/stori_card?lang=en,https://www.facebook.com/MiStoriCard/,https://www.linkedin.com/company/stori-card/,storicontigo@storicard.com,,5,,Stori Card is a digital financial service provider focused on serving the lower-income population.  The company focused on promoting financial inclusion in Mexico by providing underserved middle- and emerging middle-class customers with access to a credit card.,,,,,,,,,,,,,,"Financial Services, Lending and Investments, Payments",3,"Bin Chen, Manuel Medina, Marlene Garayzar",51-100,4,Early Stage Venture,2021-02-25,32500000,USD,32500000,Series B,32500000,USD,32500000,Series B,49557000,USD,49557000,49557000,USD,49557000,"Lightspeed Venture Partners, DHVC, Source Code Capital, Bertelsmann Asia Investments, Vision Plus Capital",3,6,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"1,527",5,,,,,,,,,,,
albo,https://www.crunchbase.com/organization/albo,"Banking, FinTech, Mobile Apps","Mexico City, Distrito Federal, Mexico",albo is the leading Mexican challenger bank.,"2,334",Latin America,$1M to $10M,Active,2016-01-01,year,,,,,For Profit,https://www.albo.mx,https://www.twitter.com/albomx,https://www.facebook.com/AlboApp,https://www.linkedin.com/company/albomx/,hola@albo.mx,,9,,"albo is the leading mexican challenger bank which helps you manage your money, and it can adapt to your lifestyle bringing you an honest service that cares about you.   albo offers you a mobile banking app, a banking account, and a Mastercard card, allowing you to easily spend, save and invest your money. You can open your  account in 60 seconds from your phone, having at your disposal personalized financing tools to help assist you in making better financial decisions. You can also be able to make free money transfers to whichever bank 24/7. albo includes many other innovating functions besides the ones mentioned above.",,,,,,,,,,,,,,"Apps, Financial Services, Lending and Investments, Mobile, Software",1,Angel Sahagun,101-250,5,Early Stage Venture,2020-12-08,45000000,USD,45000000,Series B,45000000,USD,45000000,Series B,72125000,USD,72125000,72125000,USD,72125000,"Flourish Ventures, Omidyar Network, Magma Partners, Valar Ventures, Mountain Nazca",2,9,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"2,499",43,1,,,,,,,,,,
GAIA,https://www.crunchbase.com/organization/gaia-design,"Consumer Goods, E-Commerce, Furniture, Internet, Retail","Mexico City, Distrito Federal, Mexico",GAIA is the leading furniture ecommerce player in Mexico,"2,387",Latin America,$1M to $10M,Active,2015-01-01,year,,,,,For Profit,http://www.gaiadesign.com.mx,https://twitter.com/gaiadesignmx,https://www.facebook.com/gaiadesignmexico/,https://www.linkedin.com/company/gaia-design,hola@gaiadesign.com.mx,+52 55 5350 1425,82,,GAIA is the leading furniture ecommerce player in Mexico,,,,,,,,,,,,,,"Commerce and Shopping, Consumer Goods, Internet Services",3,"Hassan Yassine, Philippe Cahuzac, Raffaello Starace",251-500,4,Early Stage Venture,2020-11-01,15000000,USD,15000000,Convertible Note,15000000,USD,15000000,Series B,17850000,USD,17850000,32850000,USD,32850000,"FJ Labs, IDB Invest, Cometa (formerly Variv Capital), Alpha4 Ventures, Rise Capital",3,9,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"2,555",46,23,,37,0,1,,Advertising; business,,,,
Casai,https://www.crunchbase.com/organization/casai,"Apps, Hospitality, Hotel, Mobile Apps, Real Estate","Mexico City, Distrito Federal, Mexico","Casai is a hospitality company that provides travelers with premium accommodations, locally sourced designs, and smart home technology.","2,508",Latin America,,Active,2019-01-01,year,,,,,For Profit,https://casai.com/,,https://www.facebook.com/wearecasai/,https://www.linkedin.com/company/wearecasai/,reservations@casai.com,+52(55) 5563192110,1,,"Casai is a startup in Latin America, merging smart home technology, and premium accommodation to innovate the hospitality industry. It is a real estate platform for fully-furnished premium apartments in Mexico City and is a hospitality concept designed for the nomadic generation.  Casai curates beautiful apartments that merge the design and comforts of a boutique hotel with the technology of a San Francisco home and the local ambiance of a vacation rental.",,,,,,,,,,,,,,"Apps, Mobile, Real Estate, Software, Travel and Tourism",2,"María del Carmen Herrerías Salazar, Nico Barawid",51-100,3,Early Stage Venture,2020-10-14,25000000,USD,25000000,Debt Financing,23000000,USD,23000000,Series A,28000000,USD,28000000,53000000,USD,53000000,"Andreessen Horowitz, DST Global, Global Founders Capital, Liquid 2 Ventures, Monashees",4,15,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"2,681",101,,,,,,,,,,,
Clip,https://www.crunchbase.com/organization/payclip,"E-Commerce, FinTech, Mobile, Mobile Payments, Payments","Mexico City, Distrito Federal, Mexico",Clip is the terminal that allows businesses to easily accept all electronic payments methods.,"2,705",Latin America,$10M to $50M,Active,2012-09-28,day,,,,,For Profit,https://clip.mx,http://twitter.com/clip_mx,https://www.facebook.com/clipmx/,https://www.linkedin.com/company/payclip,help@clip.mx,,13,,"Clip is changing card acceptance in Mexico, offering different models of portable card-reading hardware to accept all credit and debit cards as well as other solutions. More than a device to accept all cards, Clip is an ally focused on empowering Mexican businesses.",,,,,,,,,,,,,,"Commerce and Shopping, Financial Services, Mobile, Payments, Software",2,"Adolfo Babatz, Vilash Poovala",251-500,9,Late Stage Venture,2019-05-06,100000000,USD,100000000,Series C,100000000,USD,100000000,Series C,101300000,USD,101300000,101300000,USD,101300000,"SoftBank, General Atlantic, 500 Startups, American Express Ventures, Sierra Ventures",5,13,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,1,"2,887",44,4,"26,923",32,,,,,,,,
