Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Twitter,Facebook,LinkedIn,Contact Email,Phone Number,Number of Articles,Hub Tags,Full Description,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Exits,Number of Exits (IPO),Accelerator Program Type,Accelerator Duration (in weeks),School Type,School Program,Number of Enrollments,Number of Founders (Alumni),Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Announced Date,Announced Date Precision,Price,Price Currency,Price Currency (in USD),Acquisition Type,Acquisition Terms,IPO Status,IPO Date,Delisted Date,Delisted Date Precision,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO Currency (in USD),Valuation at IPO,Valuation at IPO Currency,Valuation at IPO Currency (in USD),Stock Symbol,Stock Symbol URL,Stock Exchange,Last Leadership Hiring Date,Number of Events,CB Rank (Organization),BuiltWith - Active Tech Count,Apptopia - Number of Apps,Apptopia - Downloads Last 30 Days,G2 Stack - Total Products Active,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),School Method
Wallapop,https://www.crunchbase.com/organization/wallapop,"E-Commerce Platforms, Marketplace, Mobile Apps, Shopping, Social Shopping","Barcelona, Catalonia, Spain",Wallapop is a hyper-local mobile marketplace for buying and selling secondhand goods.,227,European Union (EU),$10M to $50M,Active,2013-01-01,year,,,,,For Profit,https://www.wallapop.com,https://twitter.com/wallapop_us,http://www.facebook.com/wallapop,https://www.linkedin.com/company/wallapop,info@wallapop.com,,52,Emerging Unicorn,"Wallapop is a hyper-local mobile marketplace for buying and selling secondhand goods, primarily accessible via a mobile app. It uses a geo-localized technology that connects a community of 15 million users by offering an easy and convenient way to buy and sell items that are no longer used. The platform, which has found a second home for more than 180 million items, provides people with access to unique goods at great prices while extending the life of fully functional products. Since its inception, Wallapop has been committed to continuous innovation in the online classifieds industry and second-hand market and aspires to use technology to contribute to sustainability. The company is backed by investors Korelya Capital, NAVER, Accel, Insight Venture Partners, 14W, and Northzone. It was founded in Barcelona, Catalonia, Spain by Agustin Gomez, Miguel Vicente, and Gerard Olive in 2013.",,,1,1,,,,,,,,,,"Apps, Commerce and Shopping, Internet Services, Mobile, Software",3,"Agustin Gomez, Gerard Olive, Miguel Vicente",101-250,7,Late Stage Venture,2021-02-25,157000000,EUR,190879602,Series G,157000000,EUR,190879602,Series G,158600000,EUR,193041863,158600000,EUR,193041863,"Naver, FJ Labs, Insight Partners, Northzone, Accel",1,21,1,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,,,,1,253,113,1,"384,578",,0,4,,Advertising; business,,,,
Copado,https://www.crunchbase.com/organization/copado,"Collaboration, Developer Platform, Developer Tools, IT Management, Software","Madrid, Madrid, Spain",Copado is an end-to-end native DevOps platform built for Salesforce.,280,European Union (EU),$1M to $10M,Active,2013-01-01,year,,,,,For Profit,https://copado.com/,https://twitter.com/CopadoSolutions,https://www.facebook.com/CopadoSolutions/,https://www.linkedin.com/company/copado-solutions-s.l/,,,23,,"Copado is a leading Deployment and Release Management solution for Salesforce, fully incorporating Selenium Testing and Branch Management into its suite. Copado is the next-generation cloud-based change and releases management solution that delivers quicker deployments better visibility and traceability of your Salesforce org and allows them to manage errors proactively. They believe in cloud computing. Their mission is to increase productivity while working from everywhere and with any device to use.",,,,,,,,,,,,,,"Information Technology, Other, Software",2,"Federico Larsen, Philipp Rackwitz",101-250,3,Early Stage Venture,2021-02-17,96000000,USD,96000000,Series B,96000000,USD,96000000,Series B,130832372,USD,130832372,130832372,USD,130832372,"Salesforce Ventures, Insight Partners, Lead Edge Capital, Perpetual Investors, Isai",2,6,1,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,,,,3,309,16,,,28,0,2,,Scientific and technological services,,,,
Telefonica,https://www.crunchbase.com/organization/telefonica,"Internet, Public Relations, Telecommunications, TV, Web Development, Web Hosting","Madrid, Madrid, Spain",Telefonica is a diversified telecommunications group that provides fixed line and mobile telephone services.,289,European Union (EU),$10B+,Active,1924-01-01,year,1987-06-19,day,,,For Profit,http://www.telefonica.com,http://twitter.com/Telefonica,http://www.facebook.com/telefonicaid,http://www.linkedin.com/company/telef%C3%B3nica,prensa@telefonica.es,(349) 148-2798,"5,128",,"Telefonica, S.A. operates as a diversified telecommunications group that provides fixed line and mobile telephony services.Telefonica wants to enhance people's lives and the performance of businesses as well as the progress of the communities where they operate by delivering innovative services based on information and communications technologies.  The company operates in 24 countries and its total number of customers amounted to 315.7 million.Telefónica has one of the most international profiles in the sector with more than 77% of its business outside its home market and a reference point in the Spanish and Portuguese speaking market. The Group stands in seventh position in the sector Telco worldwide in terms of market capitalisation the 1st as an European integrated operator and in seventeenth position in the Eurostoxx 50 ranking, composed of the major companies in Europe (March 31st 2013). Telefónica is a listed company. It has more than 1.5 million direct shareholders. Its capital traded on the continuous market on the Spanish Stock Exchanges (Madrid, Barcelona, Bilbao and Valencia) and on those of London, New York, Lima and Buenos Aires. In Latin America, Telefónica gives service to more than 212.4 million customers as of the end of March 2013 becoming the leader operator in Brazil, Argentina, Chile and Peru and has substantial operations in Colombia, Costa Rica, Ecuador, El Salvador, Guatemala, Mexico, Nicaragua, Panama, Puerto Rico, Uruguay and Venezuela. In Europe, on top of the Spanish operations, the Company has operating companies in the United Kingdom, Ireland, Germany, Czech Republic and Slovakia, providing services to more than 102.7 million customers as of the end of March 2013.",,,25,27,1,6,6,,,,,,,"Hardware, Internet Services, Media and Entertainment, Sales and Marketing, Software, Video",3,"Glyn Povah, Josep M. Monti, Luis Angel Galindo",10001+,1,IPO,2013-09-09,743000000,USD,743000000,Post-IPO Debt,,,,,,,,743000000,USD,743000000,"Barclays Investment Bank, BBVA Ventures",,2,17,Made Acquisitions,,,,,,,,,,,,Public,1987-06-19,,,,,,,,,TEF,https://www.crunchbase.com/ipo/telefonica-ipo--47ae2352,NYSE - New York Stock Exchange,,31,318,199,6,,53,347,244,Electric Communication Technique,Telecommunications,22320,USD,22320,
BusUp,https://www.crunchbase.com/organization/busup,"Public Transportation, Ride Sharing, Transportation, Travel","Barcelona, Catalonia, Spain","BusUp provides a corporate commuter transportation in the European Union, North America and Latin America",419,European Union (EU),Less than $1M,Active,2016-10-04,day,,,,,For Profit,https://www.busup.com/,,,https://www.linkedin.com/company/busup,Info@busup.com,+34936896896,38,,"BusUp is a mobility service provider that specializes in efficient and flexible corporate commuting services, and is the first company in the world to offer shared corporate shuttle services. Established in 2016, BusUp is already a global company that is currently fully operational in the U.S., Europe, and Latin America for large corporations such as Accenture, Roche, Siemens, Cognizant, Nestlé, DXC Technologies, Louis Vuitton, etc. Thanks to its technology and its innovative business model BusUp has disrupted a very traditional and low digitized sector, bringing efficiency and convenience to all its stakeholders: passengers, clients, operators, and public administration. Since its inception, BusUp has partnered with more than 150 operators and attended more than 100 clients, exceeding  500,000 passengers worldwide.  To learn more about BusUp, visit www.busup.com.",,,,,,,,,,,,,,"Transportation, Travel and Tourism",4,"Alex Canals, Danilo Tamelini, Eva Romagosa, Rui Stoffel Fernandes",11-50,5,Early Stage Venture,2021-02-11,6000000,USD,6000000,Series A,6000000,USD,6000000,Series A,8086091,USD,8086091,9123881,USD,9123881,"Autotech Ventures, EASME - EU Executive Agency for SMEs, IESE Business School, Proeza Ventures, Finaves",3,6,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,9,464,56,,,,0,4,,Scientific and electric apparatus and instruments,27159,USD,27159,
Wallbox,https://www.crunchbase.com/organization/wallbox,"Automotive, Electric Vehicle, Energy, Manufacturing, Renewable Energy","Barcelona, Catalonia, Spain","Wallbox designs, develops, and manufactures intelligent energy solutions.",579,European Union (EU),$1M to $10M,Active,2015-01-01,year,,,,,For Profit,https://www.wallbox.com/,https://www.twitter.com/WallboxNA,https://www.facebook.com/wallboxchargers/,https://www.linkedin.com/company/wallbox-chargers/,investors@wallbox.com,,16,,"Wallbox designs, develops, and manufactures intelligent charging solutions for electric vehicles and plug-in hybrids for both domestic and business use. Its customers include major automobile manufacturers and large electric utilities. The areas of research, technical development, product testing, and manufacturing are carried out at the Barcelona plant, where Wallbox has a large engineering team and a production capacity of 500,000 chargers per year. The development of the charging management platform, myWallbox and the after-sales and installation customer service area are based in Madrid. Wallbox currently has subsidiaries in Germany, United Kingdom, The Netherlands, France, United States (California), and China. Its joint venture in China, Wallbox FAWSN Charging Systems Co Ltd. has a production plant, exclusively for the sale of Wallbox products in the Chinese market.",,,,,,,,,,,,,,"Energy, Manufacturing, Sustainability, Transportation",2,"Eduard Castañeda Mañé, Enric Asunción",251-500,4,Early Stage Venture,2021-02-01,33000000,EUR,39824050,Series B,33000000,EUR,39824050,Series B,56000000,EUR,65315197,56000000,EUR,65315197,"Iberdrola, Endeavor Catalyst, Cathay Innovation, WIND Ventures, Seaya Ventures",5,6,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,2,634,42,,"25,176",8,0,4,,Scientific and electric apparatus and instruments,1873,USD,1873,
Bipi,https://www.crunchbase.com/organization/bipi,"Automotive, Car Sharing, E-Commerce, Rental, Transportation","Madrid, Madrid, Spain",Bipi is a car subscription startup offering consumers a hassle-free alternative to car ownership.,881,European Union (EU),Less than $1M,Active,2017-08-01,month,,,,,For Profit,http://www.bipicar.com,https://twitter.com/bipi_Es,https://www.facebook.com/Bipi.Spain/,https://www.linkedin.com/company/9428810,info@bipicar.com,911983111,15,,"Bipi is a car subscription startup offering consumers a hassle-free alternative to car ownership with fully-flexible, all-inclusive monthly subscriptions to quality new and used cars for a single, all-inclusive monthly payment and a digital-first, 100% online transaction process. Its platform lets users book cars, subscribe, swap, and cancel it at any point in time that enables customers to revolutionize the way they access cars. Bipi was co-founded by Hans Christ and Alejandro Vigaray in 2017 and it is headquartered in Madrid, Spain.",,,,,,,,,,,,,,"Commerce and Shopping, Transportation",2,"Alejandro Vigaray, Hans Christ",51-100,4,Early Stage Venture,2021-02-25,6000000,EUR,7294761,Series B,6000000,EUR,7294761,Series B,31500000,EUR,37030036,31500000,EUR,37030036,"TA Ventures, P101, Toyota AI Ventures, IDC Ventures, Maniv Mobility",4,11,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,961,67,,,,0,1,,Scientific and electric apparatus and instruments,,,,
idealista.com,https://www.crunchbase.com/organization/idealista-com,"Property Management, Real Estate, Rental","Madrid, Madrid, Spain","idealista is an online real estate platform for renting, buying, and selling houses and flats.","1,061",European Union (EU),$50M to $100M,Active,2000-10-01,day,2020-09-10,day,,,For Profit,http://www.idealista.com,http://twitter.com/idealista,http://www.facebook.com/idealista,https://www.linkedin.com/company/idealista-com/,hola@idealista.com,34 807 58 58 59,10,,"idealista.com is a real estate website in Spanish. idealista.com is a meeting point for buyers and sellers and its database consists currently of more than 280,000 unique listings; also provides the buyer and the seller with useful information to help and guide them in their buying-selling. Since 2000, idealista.com has been specializing in helping millions of people overcome the anxiety and frustration of finding a home.",,,2,2,1,1,1,,,,,,,"Commerce and Shopping, Real Estate",3,"Bernardo Hernandez, Fernando Encinar, Jesús Encinar",501-1000,3,M&A,2021-02-24,250000000,EUR,304249513,Private Equity,250000000,EUR,304249513,Private Equity,251000000,EUR,305299316,251000000,EUR,305299316,"Apax Partners, Bonsai Venture Capital SCR",1,2,3,"Made Acquisitions, Was Acquired",idealista.com acquired by EQT,https://www.crunchbase.com/acquisition/eqt-holdings-acquires-idealista-com--f42b7bbd,EQT,https://www.crunchbase.com/organization/eqt-holdings,2020-09-10,day,1300000000,EUR,1537188128,Acquisition,,Private,,,,,,,,,,,,,,2,"1,150",42,4,"431,696",25,0,2,,Education; entertainment,,,,
Koa Health,https://www.crunchbase.com/organization/koa-health,"Health Care, Medical, Medical Device, Natural Language Processing","Barcelona, Catalonia, Spain",Koa Health is a digital mental healthcare provider that offers mental health solutions for various common mental disorders.,"1,067",European Union (EU),,Active,2016-01-01,year,,,,,For Profit,https://www.koahealth.com/,https://twitter.com/KoaHealth,,https://www.linkedin.com/company/koa-health/,dpo@koahealth.com,(34) 913 12 87 00,6,,"Koa Health is digital wellbeing and therapeutics solutions combine the latest clinical research and breakthrough technologies. It delivers mental health support that is accessible, personalized, and effective across a range of conditions. The company's other products include Mindset, offered through providers as a way to facilitate private chat-based mental health support. They create digital tools and resources for mental health that encompass prevention, prediction, and treatment. It offers a library of evidence-based activities for tackling stress, sleeping better, aiding relaxation and positive thinking, and boosting self-confidence.",,,,,,,,,,,,,,"Artificial Intelligence, Data and Analytics, Health Care, Software",1,Oliver Harrison,51-100,2,Early Stage Venture,2021-02-09,30000000,EUR,36352488,Series A,30000000,EUR,36352488,Series A,44100000,EUR,53013798,44100000,EUR,53013798,"Alma Mundi Ventures, Wellington Partners, Asabys Partners, MTIP AG, Ancora Finance Group",2,7,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"1,156",25,,,,,,,,,,,
TravelPerk,https://www.crunchbase.com/organization/travelperk,"Business Travel, SaaS, Software, Ticketing, Travel","Barcelona, Catalonia, Spain","TravelPerk is a business travel platform that revolutionizes the way that organizations budget, book, and manage business travels.","1,151",European Union (EU),$50M to $100M,Active,2015-01-01,day,,,,,For Profit,http://www.travelperk.com,https://twitter.com/travelperk,https://www.facebook.com/travelperkofficial/,https://www.linkedin.com/company/travelperk,info@travelperk.com,+34932209122,48,,"TravelPerk is a next-generation business travel booking and management platform for companies of any size. It is an all-in-one platform for booking business travel that is 100% free. TravelPerk has an inventory, technology, consumer-grade design, and a very disruptive business model. TravelPerk is backed by investors such as Spark Capital, investors in Slack, Trello, and Twitter. The company is co-founded and funded by a team of entrepreneurial executives with deep market expertise, including leadership-level experience, at one of the most successful players in the online travel industry.  One of the co-founders most recently started and sold a travel technology company to one of the players in the market.",,,,,,,,,,,,,,"Events, Media and Entertainment, Software, Travel and Tourism",3,"Avi Meir, Javier Suarez, Ron Levin",251-500,6,Late Stage Venture,2019-07-18,53000000,EUR,59684012,Series C,53000000,EUR,59684012,Series C,133175371,USD,133175371,133175371,USD,133175371,"Target Global, DST Global, Spark Capital, LocalGlobe, Kinnevik AB",5,24,2,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,,,,9,"1,246",54,,,77,0,1,,Scientific and electric apparatus and instruments,,,,
Cabify,https://www.crunchbase.com/organization/cabify,"Internet, Logistics, Mobile, Ride Sharing, Transportation","Madrid, Madrid, Spain","Cabify is a ride-sharing company that operates in Latin America, Spain, and Portugal.","1,235",European Union (EU),$10M to $50M,Active,2011-12-01,day,,,,,For Profit,https://cabify.com/es,http://twitter.com/cabify,http://www.facebook.com/cabifyEs,http://www.linkedin.com/company/cabify,info@cabify.com,+34 911 72 75 86,598,Unicorn,"Cabify is a ride-sharing company that operates in Latin America, Spain, and Portugal.  At Cabify, they make sure their customers - passengers and drivers - enjoy the ride. Charging a fair price, improving your door-to-door journey, making transport accessible to all are just some of the things they think are important. Why? Because they believe that by making transport better, they can make their cities and communities better. Founded in 2011, the company is headquartered in Madrid, Madrid, Spain.",,,1,1,,,,,,,,,,"Internet Services, Mobile, Transportation",5,"Adrian Merino, Francisco Montero, Juan De Antonio, Sam Lown, Vicente Pascual",1001-5000,8,Late Stage Venture,2019-02-11,70000000,USD,70000000,Debt Financing,160000000,USD,160000000,Series E,407000000,USD,407000000,477000000,USD,477000000,"AngelList, Daniel Curran, Endeavor Catalyst, M13, Winklevoss Capital",4,24,1,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,,,2020-09-11,2,"1,337",70,4,"504,469",28,0,17,,"Transport, packaging and storing",3229,USD,3229,
