Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Twitter,Facebook,LinkedIn,Contact Email,Phone Number,Number of Articles,Hub Tags,Full Description,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Exits,Number of Exits (IPO),Accelerator Program Type,Accelerator Duration (in weeks),School Type,School Program,Number of Enrollments,Number of Founders (Alumni),Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Announced Date,Announced Date Precision,Price,Price Currency,Price Currency (in USD),Acquisition Type,Acquisition Terms,IPO Status,IPO Date,Delisted Date,Delisted Date Precision,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO Currency (in USD),Valuation at IPO,Valuation at IPO Currency,Valuation at IPO Currency (in USD),Stock Symbol,Stock Symbol URL,Stock Exchange,Last Leadership Hiring Date,Number of Events,CB Rank (Organization),BuiltWith - Active Tech Count,Apptopia - Number of Apps,Apptopia - Downloads Last 30 Days,G2 Stack - Total Products Active,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),School Method
Partners Group,https://www.crunchbase.com/organization/partners-group,"Finance, Financial Services, Venture Capital","Baar, Zug, Switzerland","Partners Group are a unique, global alternative asset manager with strong Swiss roots, proactively providing their international client.",79,,$100M to $500M,Active,1996-01-01,year,2006-03-31,day,,,For Profit,http://www.partnersgroup.com,https://twitter.com/partnersgroup,,https://www.linkedin.com/company/partners-group,partnersgroup@partnersgroup.com,212 908 2600,417,,"Partners Group are a unique, global alternative asset manager with strong Swiss roots, proactively providing their international client base with innovative, customized solutions. With CHF 19.2 billion in private equity assets under management, a global team of over 130 private equity professionals in seven offices and over 300 partnership investments led by over 200 general partners, Partners Group is one of the largest private equity asset managers worldwide.",Private Equity Firm,"Early Stage Venture, Private Equity",32,36,16,13,13,,,,,,,"Financial Services, Lending and Investments",1,Urs Wietisbach,1001-5000,1,IPO,2015-03-06,500000000,USD,500000000,Post-IPO Equity,500000000,USD,500000000,Post-IPO Equity,500000000,USD,500000000,500000000,USD,500000000,,,,33,Made Acquisitions,,,,,,,,,,,,Public,2006-03-31,,,,,,,,,PGHN,https://www.crunchbase.com/ipo/partners-group-ipo--8e316b9a,SWX - SIX Swiss Exchange,,1,89,47,1,,18,0,8,,Insurance; financial affairs,26846,USD,26846,
Polkadot,https://www.crunchbase.com/organization/polkadot,"Apps, Crowdfunding, Cryptocurrency, Information Services, Information Technology, Internet, Open Source, Retail, Social Media","Zug, Zug, Switzerland",Polkadot is a heterogeneous multi‑chain technology.,135,,$1M to $10M,Active,2016-01-01,year,,,,,For Profit,https://polkadot.network,https://twitter.com/polkadotnetwork,https://www.facebook.com/polkadotnetwork/,https://www.linkedin.com/company/polkadot-network/,press@polkadot.network,,141,,Polkadot is a protocol that allows independent blockchains to exchange information. Polkadot is an inter-chain blockchain protocol which unlike internet messaging protocols (e.g. TCP/IP) also enforces the order and the validitiy of the messages between the chains. This interoperability also allows the additional benefit of scalability by creating a general environment for multiple state machines.,,,,,,,,,,,,,,"Apps, Commerce and Shopping, Financial Services, Information Technology, Internet Services, Media and Entertainment, Payments, Software",3,"Gavin Wood, Peter Czaban, Robert Habermeier",11-50,8,,2020-08-23,,,,Secondary Market,43700000,USD,43700000,Initial Coin Offering,188700000,USD,188700000,188700000,USD,188700000,"Polychain, LongHash Ventures, Pantera Capital, Adam Morley, IOSG Ventures",1,16,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,3,150,57,,,,,,,,,,,
Novartis,https://www.crunchbase.com/organization/novartis,"Biotechnology, Health Care, Medical, Pharmaceutical","Basel, Basel-Stadt, Switzerland",Novartis is a healthcare company that provides solutions to address the evolving needs of patients worldwide.,201,,$10B+,Active,1996-01-01,year,2000-05-19,day,,,For Profit,http://www.novartis.com,http://twitter.com/novartis,http://www.facebook.com/novartis,https://www.linkedin.com/company/novartis/,eric.althoff@novartis.com,+41 61 324 11 11,"6,060",,Novartis is a global healthcare company based in Switzerland that provides solutions to address the evolving needs of patients worldwide. Their mission is to discover new ways to improve and extend people's lives. They apply their expertise in science and innovation to society’s biggest health challenges. Responsibility is a core part of their business strategy.,Accelerator,,36,47,10,15,15,,7,,,,,"Biotechnology, Health Care, Science and Engineering",3,"Alexander Clavel, Joerg Reinhardt, Johann Rudolf",10001+,1,IPO,2018-02-14,6500000,USD,6500000,Grant,,,,,,,,6500000,USD,6500000,Bill & Melinda Gates Foundation,1,1,23,Made Acquisitions,,,,,,,,,,,,Public,2000-05-19,,,,,,,,,NVS,https://www.crunchbase.com/ipo/novartis-ipo--d070a954,NYSE - New York Stock Exchange,,19,227,89,1,,39,"11,751","7,030",Medical Or Veterinary Science; Hygiene,"Pharmaceutical, veterinary and sanitary products",26846,USD,26846,
ConsenSys,https://www.crunchbase.com/organization/consensus-systems,"Cryptocurrency, Mobile, Software","Zug, Zug, Switzerland","ConsenSys develops enterprise applications, invests in startups, builds developer tools, and offers blockchain education.",217,,$10M to $50M,Active,2014-10-01,day,,,,,For Profit,http://www.consensys.net,https://twitter.com/consensys,https://www.facebook.com/consensussystems/,https://www.linkedin.com/company/consensus-systems-consensys-/,info@consensys.net,,412,,"ConsenSys is a market leading blockchain technology company. Their vision is that blockchain technology allows us to progress to the next generation of the Web that they call the “Web 3.0”. They believe the Web 3.0 will serve as the foundation for new economic systems that are more open, efficient, and accessible. Their mission is to enable that progress by building platforms, applications, and tools for Web 3.0, while offering services to ensure they are useful to their customers. And as home to many of the world’s leading blockchain experts, they are proud to collaborate with others in the space on open, shared infrastructure. They are in the early phases of adoption of an entirely new wave of technology that will fundamentally disrupt every industry. They are at the forefront of a revolution.",Micro VC,,24,27,11,1,1,,,,,,,"Financial Services, Mobile, Payments, Software",2,"Andrew Keys, Joseph Lubin",501-1000,1,,2019-07-02,10000000,USD,10000000,Venture - Series Unknown,10000000,USD,10000000,Venture - Series Unknown,10000000,USD,10000000,10000000,USD,10000000,SK Group,1,1,5,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,,,,25,243,112,,,54,,,,,60884,USD,60884,
Climeworks,https://www.crunchbase.com/organization/climeworks,"CleanTech, Environmental Engineering, Industrial Engineering, Manufacturing","Zürich, Zurich, Switzerland",Climeworks captures CO2 from air via commercial carbon dioxide removal technology.,657,,$1M to $10M,Active,2009-01-01,year,,,,,For Profit,http://www.climeworks.com,http://twitter.com/Climeworks,http://www.facebook.com/climeworks,http://www.linkedin.com/company/climeworks,contact@climeworks.com,+41 (0)44 533 29 99,27,,"Climeworks captures CO2 from air via commercial carbon dioxide removal technology. Its direct air capture plants capture CO2 with a filter, using mainly low-grade heat as an energy source. The pure CO2 gas is then sold to customers in key markets, including commercial agriculture, food and beverage industries, the energy sector and the automotive industry. Customers utilize this atmospheric CO2 in carbonated drinks or to produce carbon-neutral hydrocarbon fuels and materials. Additionally, the company enables customers to realize their climate goals by reversing their emissions and safely storing the captured CO2.",,,,,,,,,,,,,,"Manufacturing, Science and Engineering, Sustainability",2,"Christoph Gebald, Jan Wurzbacher",101-250,7,,2021-02-12,,,,Venture - Series Unknown,,,,Venture - Series Unknown,133600000,CHF,138704239,133630000,CHF,138733320,"Venture Kick, Swiss Entrepreneurs Foundation, Zürcher Kantonal Bank",3,3,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,717,35,,,18,29,2,Physical Or Chemical Processes Or Apparatus In General,Chemical substances,,USD,,
MAPS.ME,https://www.crunchbase.com/organization/mapswithme,"Adventure Travel, Crowdsourcing, Cycling, GPS, Guides, Outdoors, Sports, Tourism, Travel","Zug, Zug, Switzerland","#1 Travel Maps – free, offline, detailed mobile maps of the world with travel guides, trusted by 140M travelers worldwide, OSM.org powered.",867,,,Active,2011-04-12,day,2014-11-13,day,,,For Profit,http://maps.me/,https://twitter.com/MAPS_ME,https://www.facebook.com/MapsWithMe,https://www.linkedin.com/company/mapsme/,info@maps.me,,26,,"MAPS.ME is #1 free mobile offline map for travellers with over 140 million installations all over the world (as of Q3 2019), available for iOS and Android and translated into 28 languages. MAPS.ME covers all countries of the world which are available for download from within the application. After the download, the maps and all the built-in features work offline and do not require an internet connection (map, search, filters, car/pedestrian/bike/transit routing and navigation with voice instructions). With the internet connection, you can also get free car traffic in 38 countries and access a public catalog with thousands of travel guides and itineraries, created by professional companies and individual bloggers and active travelers.  MAPS.ME gets its map data from OpenStreetMap.org (Wikipedia of maps) – an open database of geographic information which is updated by the community of 5.7M contributors. The application includes the map data in full details with streets, house names, tourist attractions, hiking/cycling trails, local businesses and many other information. The map is fast and detailed thanks to several breakthrough technologies: extremely compact map data compression and high speed rendering, which is 4-10x faster than other map apps.",,,,,,,,,,,,,,"Hardware, Media and Entertainment, Navigation and Mapping, Other, Sports, Travel and Tourism",4,"Alex Zolotarev, Siarhei Rachytski, Victor Govako, Yury Melnichek",11-50,3,M&A,2021-01-27,,,,Seed,,,,Seed,50000000,USD,50000000,50000000,USD,50000000,"Alameda Research, CMS Holdings, DeFi Technologies, Sino Global Capital, Genesis Capital",1,6,,Was Acquired,MAPS.ME acquired by Mail.Ru Group,https://www.crunchbase.com/acquisition/mail-ru-acquires-mapswithme--fa87546a,Mail.Ru Group,https://www.crunchbase.com/organization/mail-ru,2014-11-13,day,,,,Acquisition,,Private,,,,,,,,,,,,,,2,946,35,58,"6,517,753",10,0,9,,Scientific and electric apparatus and instruments,,,,
Roche,https://www.crunchbase.com/organization/roche,"Biotechnology, Health Care, Health Diagnostics, Pharmaceutical","Basel, Basel-Stadt, Switzerland",Roche is a pharmaceutical and diagnostics company that focused on improving people’s lives.,942,,$10B+,Active,1896-01-15,day,2003-03-14,day,,,For Profit,http://www.roche.com,http://twitter.com/Roche,http://www.facebook.com/RocheCareers,https://www.linkedin.com/company/roche/?trk=hb_tab_compy_id_1602,,+41616881111,"1,258",,"Roche is a pharmaceutical and diagnostics company that focused on improving people’s lives. Roche Holding AG is the owner of F. Hoffmann-La Roche Ltd., a provider of in-vitro diagnostics and drugs for cancer and transplantation. It specializes in medicines for oncology, virology, inflammation, metabolism, CNS, clinical chemistry, immunology, urinalysis, blood screening, genetics, infectious diseases, and microbiology. F. Hoffmann-La Roche Ltd. serves hospitals, research labs, private medical labs, practicing physicians, and patients. Its products include cancer treatments, such as Avastin, Herceptin, and MabThera that are also effective in the treatment of rheumatoid arthritis, anemia, and osteoporosis. F. Hoffmann-La Roche Ltd. also conducts research and development as well as production-related to molecular diagnostic reagents, test systems, and test kits. In addition, it provides automated instruments, software, consumables, and IT solutions used in in-vitro diagnostics and research. Roche was established in 1896 and is based in Basel, Switzerland.",,,4,6,2,3,3,,,,,,,"Biotechnology, Health Care, Science and Engineering",1,Fritz Hoffman-La Roche,10001+,3,IPO,2020-05-06,500000,USD,500000,Post-IPO Equity,500000,USD,500000,Post-IPO Equity,2790500000,USD,2790500000,2790500000,USD,2790500000,"Novartis, SCALE AI",2,2,48,Made Acquisitions,,,,,,,,,,,,Public,2003-03-14,,,,,,,,,ROG,https://www.crunchbase.com/ipo/roche-ipo--16231035,SWX - SIX Swiss Exchange,,26,"1,030",141,106,"1,089",59,"13,116","1,467",Organic Chemistry,"Pharmaceutical, veterinary and sanitary products",8355,USD,8355,
Veeam Software,https://www.crunchbase.com/organization/veeam-software,"Cloud Infrastructure, Data Center, Enterprise Software, Software, Virtualization","Baar, Zug, Switzerland","Veeam is a single backup and data management platform for cloud, virtual, and physical software.","1,212",,$500M to $1B,Active,2006-01-01,year,2020-01-09,day,,,For Profit,http://www.veeam.com,http://twitter.com/veeam,http://www.facebook.com/VeeamSoftware,,veeam_team@veeam.com,800-691-1991,287,Exited Unicorn,"Veeam is a single backup and data management platform for cloud, virtual, and physical. It specializes in intelligent data management for the hyper-available enterprise.  The company was founded in 2006 and is headquartered in Baar, Zug.",,,,,,,,,,,,,,"Hardware, Information Technology, Internet Services, Software",2,"Andrei Baronov, Ratmir Timashev",1001-5000,2,M&A,2019-01-16,500000000,USD,500000000,Private Equity,500000000,USD,500000000,Private Equity,500000000,USD,500000000,500000000,USD,500000000,"Insight Partners, Canada Pension Plan Investment Board",1,2,3,"Made Acquisitions, Was Acquired",Veeam Software acquired by Insight Partners,https://www.crunchbase.com/acquisition/insight-partners-acquires-veeam-software--d9a08f04,Insight Partners,https://www.crunchbase.com/organization/insight-partners,2020-01-09,day,5000000000,USD,5000000000,Acquisition,,Private,,,,,,,,,,,,,2020-01-09,106,"1,313",65,,,61,1,5,Computing; Calculating,Scientific and electric apparatus and instruments,,,,
Credit Suisse,https://www.crunchbase.com/organization/credit-suisse,"Banking, Financial Services, Personal Branding, Wealth Management","Zürich, Zurich, Switzerland",Credit Suisse Group is a financial services company that advises clients in all aspects of finance.,"1,264",,$1B to $10B,Active,1856-07-05,day,2003-03-14,day,,,For Profit,http://www.credit-suisse.com,http://twitter.com/creditsuisse,http://www.facebook.com/creditsuisse,http://www.linkedin.com/company/credit-suisse,social.media@credit-suisse.com,,"5,517",Crunchbase Venture Program,"Credit Suisse Group is a financial services company that advises clients in all aspects of finance. Credit Suisse First Boston (CSFB) is an arm of the Credit Suisse Group. Credit Suisse pursue a client-focused integrated bank strategy, focusing on complex client needs and value-adding businesses, leveraging the global expertise of our three divisions and reporting segments, Private Banking, Investment Banking, and Asset Management. It is their vision to become the world's premier and most admired bank, renowned for their expertise in private banking, investment banking, and asset management, and value for their advice, innovation, and execution. Their mission is to set new standards in partnering with their clients and providing them with innovative, integrated financial solutions. As a global bank serving clients in every region of the world, cultural diversity is essential to their success. They strive to create an open, respectful workplace that encourages people to work together and with their clients to deliver superior products, services, and results and support the success and prosperity of all their stakeholders.",Investment Bank,"Early Stage Venture, Late Stage Venture, Private Equity",110,129,53,51,51,,,,,,,"Financial Services, Lending and Investments, Sales and Marketing",,,10001+,,IPO,,,,,,,,,,,,,,,,,,,2,Made Acquisitions,,,,,,,,,,,,Public,2003-03-14,,,,,,,,,CSGN,https://www.crunchbase.com/ipo/credit-suisse-ipo--c430e249,SWX - SIX Swiss Exchange,2020-12-01,32,"1,368",90,42,"45,549",45,44,122,Computing; Calculating,Insurance; financial affairs,,,,
Acronis,https://www.crunchbase.com/organization/acronis,"Blockchain, Cloud Computing, Cloud Infrastructure, Cyber Security, Enterprise Software, File Sharing, Information Technology, Privacy, Software, Virtualization","Schaffhausen, Schaffhausen, Switzerland","Acronis is a cybersecurity company that offers safety, accessibility, privacy, authenticity, and security services","1,432",,$50M to $100M,Active,2003-01-01,year,,,,,For Profit,http://www.acronis.com/,http://twitter.com/acronis,http://www.facebook.com/acronis/,http://www.linkedin.com/company/acronis/,guennadi.moukine@acronis.com,(656) 222-0700,582,Unicorn,"Acronis is a cybersecurity company that solves safety, accessibility, privacy, authenticity, and security obstacles with efficient and secure backup, security, disaster recovery, and enterprise file sync and share solutions that work in hybrid cloud environments. The company protects all data, applications, and systems, such as physical, virtual, cloud, mobile workloads with its award-winning AI-based active protection technology, blockchain-based data authentication, and unique hybrid-cloud architecture. Acronis was founded in Singapore on 2003.",,,,,,,,,,,,,,"Hardware, Information Technology, Internet Services, Other, Privacy and Security, Software",4,"Jack Zubarev, Oleg Melnikov, Serguei Beloussov, Stanislav Protassov",1001-5000,2,,2019-09-18,147000000,USD,147000000,Venture - Series Unknown,147000000,USD,147000000,Venture - Series Unknown,158000000,USD,158000000,158000000,USD,158000000,"Goldman Sachs, Insight Partners, OpenView, ABRT",1,4,7,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,,,2020-06-16,13,"1,550",112,12,"12,275",35,122,43,Computing; Calculating,Scientific and electric apparatus and instruments,26846,USD,26846,
