Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Twitter,Facebook,LinkedIn,Contact Email,Phone Number,Number of Articles,Hub Tags,Full Description,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Exits,Number of Exits (IPO),Accelerator Program Type,Accelerator Duration (in weeks),School Type,School Program,Number of Enrollments,Number of Founders (Alumni),Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Announced Date,Announced Date Precision,Price,Price Currency,Price Currency (in USD),Acquisition Type,Acquisition Terms,IPO Status,IPO Date,Delisted Date,Delisted Date Precision,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO Currency (in USD),Valuation at IPO,Valuation at IPO Currency,Valuation at IPO Currency (in USD),Stock Symbol,Stock Symbol URL,Stock Exchange,Last Leadership Hiring Date,Number of Events,CB Rank (Organization),BuiltWith - Active Tech Count,Apptopia - Number of Apps,Apptopia - Downloads Last 30 Days,G2 Stack - Total Products Active,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),School Method
dLocal,https://www.crunchbase.com/organization/dlocal,"E-Commerce, Emerging Markets, Financial Services, FinTech, Mobile Payments, Payments","Montevideo, NA - Uruguay, Uruguay",DLocal is a cross-border payment processor that connects global merchants to emerging markets.,"1,405",Latin America,$50M to $100M,Active,2016-01-01,day,,,,,For Profit,https://dlocal.com/,https://twitter.com/dLocalPayments,https://www.facebook.com/dlocal360payments/,https://www.linkedin.com/company/dlocal/,marketing@dlocal.com,1518500249,44,Unicorn,"DLocal is a 360 payments technology platform designed to handle mass online payments in emerging markets across LATAM, APAC, and EMEA. The company's payment platform empowers anyone to reach billions of customers, accept payments, send payouts, and settle funds globally. By operating as the payments processor and merchant of record in each market, dLocal is making it simple for online companies to reach 2 billion digitally-savvy consumers in today’s fastest-growing markets. Over 450 global e-commerce merchants, online travel providers, and marketplaces rely on dLocal to accept more than 300 locally-relevant payment methods including local credit and debit cards, bank transfers, and cash payments, as well as issue millions of payments to their contractors, agents, and sellers in growth markets around the world. DLocal spun-off from AstroPay in January 2016.",,,,,,,,,,,,,,"Commerce and Shopping, Financial Services, Mobile, Other, Payments, Software",2,"Sebastian Kanovich, Sergio Fogel",251-500,3,Private Equity,2020-09-15,200000000,USD,200000000,Private Equity,200000000,USD,200000000,Private Equity,207000000,USD,207000000,207000000,USD,207000000,"General Atlantic, Addition, Oren Zeev, Expand Venture",1,4,,,,,,,,,,,,,,Private,,,,,,,,,,,,,2020-12-04,7,"1,522",27,,,7,,,,,,,,
PedidosYa,https://www.crunchbase.com/organization/pedidosya,"Delivery, Delivery Service, E-Commerce, Food Delivery, Grocery, Mobile Payments","Montevideo, NA - Uruguay, Uruguay",PedidosYa is an online and mobile food-ordering company that connects restaurants across 13 countries in Latin America.,"5,205",Latin America,$1M to $10M,Active,2009-10-17,day,2014-06-26,day,,,For Profit,http://www.pedidosya.com,http://twitter.com/pedidosya,http://www.facebook.com/pedidosya,https://linkedin.com/company/pedidosya.com,contacto@pedidosya.com,,17,,"PedidosYa is the market leader for online food ordering in LATAM. The platform connects 55,000 restaurants with millions of users in more than 400 cities, generating + 1.5B USD in annual GMV.",,,,,,,,,,,,,,"Administrative Services, Commerce and Shopping, Financial Services, Food and Beverage, Mobile, Payments, Software, Transportation",3,"Alvaro Garcia, Ariel Burschtin, Ruben Sosenke",1001-5000,6,M&A,2017-05-07,270000000,USD,270000000,Venture - Series Unknown,270000000,USD,270000000,Venture - Series Unknown,328500000,USD,328500000,328500000,USD,328500000,"Atomico, Delivery Hero, Kaszek Ventures, Prosperitas Capital Partners",,4,2,"Made Acquisitions, Was Acquired",PedidosYa acquired by Delivery Hero,https://www.crunchbase.com/acquisition/delivery-hero-acquires-pedidosya--70505ee9,Delivery Hero,https://www.crunchbase.com/organization/delivery-hero,2014-06-26,day,,,,Acquisition,Cash & Stock,Private,,,,,,,,,,,,,,,"5,483",40,70,"125,525",8,,,,,,,,
Bunker DB,https://www.crunchbase.com/organization/bunker-db,"Analytics, Big Data, Business Intelligence, Digital Marketing, Software","Montevideo, NA - Uruguay, Uruguay",We are a tech company aimed at enhancing the efficiency and productivity of marketing departments through data analysis with AI.,"21,939",Latin America,,Active,2014-10-05,day,,,,,,https://www.bunkerdb.com,https://twitter.com/bunker_db,https://www.facebook.com/bunkerdb,https://www.linkedin.com/company/bunkerdb,info@bunkerdb.com,+598 2 914 5614,6,,"We are one of the most powerful and friendly marketing science platforms in the world. Our technology allows centralizing an unlimited amount of information from multiple platforms and devices, for subsequent processing and presentation in a friendly manner for its visualization and understanding. Bunker DB exponentially enhances brand performance in every aspect of its offline and digital communication, both impact wise and investment wise. In a nutshell, we help brands convert their data into knowledge so that they may connect in the most efficient and relevant manner with their consumers. Our mission: Help brands automate their communication processes, accelerating decision-making through data and considerably enhance their online and offline communication. Our vision: Be the most complete and powerful virtual marketing assistant worldwide.",,,,,,,,,,,,,,"Data and Analytics, Sales and Marketing, Software",1,Avedis Boudakian,11-50,3,Early Stage Venture,2020-03-04,2000000,USD,2000000,Series A,2000000,USD,2000000,Series A,2876000,USD,2876000,2876000,USD,2876000,Cisneros Group,,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"22,818",,,,,,,,,,,,
Bankingly,https://www.crunchbase.com/organization/bankingly,"Financial Services, Information Services, Information Technology","Montevideo, NA - Uruguay, Uruguay",Bankingly brings world-class digital channels to all financial institutions,"27,617",Latin America,$1M to $10M,Active,2015-07-01,day,,,,,For Profit,http://www.bankingly.com,https://www.twitter.com/bankingly,https://www.facebook.com/bankingly,https://www.linkedin.com/company/bankingly/,martin@bankingly.com,,1,,"Bankingly allows financial institutions to provide world-class digital channels to their customers, with the agility and security required, at a reasonable and variable cost. ",,,,,,,,,,,,,,"Financial Services, Information Technology",1,Martin Naor,11-50,1,Early Stage Venture,2018-11-14,5250000,USD,5250000,Series A,5250000,USD,5250000,Series A,5250000,USD,5250000,5250000,USD,5250000,"Endeavor Catalyst, The Rise Fund, Elevar Equity",1,3,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"28,690",76,38,8,35,,,,,,,,
Meitre,https://www.crunchbase.com/organization/meitre,"Hospitality, Internet, Reservations, Restaurants","Montevideo, NA - Uruguay, Uruguay","Meitre is an online reservations, guest, and revenue management platform for the world's top restaurants.","29,066",Latin America,Less than $1M,Active,2016-01-01,year,,,,,For Profit,https://meitre.com/,https://twitter.com/meitre_com,,https://www.linkedin.com/company/18489108/,contact@meitre.com,,1,,"Meitre is a guest manager for restaurants to book tables based on demand trends, rotate tables efficiently, introduce dynamic pricing techinques, host events, and book tables with credit cards  Half of the Latin America Top 50 list–including 2 of the top 10 restaurants in the World–use Meitre to increase profit as much as 30% by optimizing table allocation, limiting low margin bookings at peak hours, and eliminating no-shows using tickets, deposits and credit card guarantees.",,,,,,,,,,,,,,"Events, Food and Beverage, Internet Services, Media and Entertainment, Travel and Tourism",2,"Juan Ignacio Caviglia, Luis Caviglia",1-10,2,Seed,2019-05-16,1600000,USD,1600000,Seed,1600000,USD,1600000,Seed,1720000,USD,1720000,1720000,USD,1720000,"Andreessen Horowitz, 500 Startups, Y Combinator, Canary, Brad Flora",2,7,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,1,"30,177",30,,,9,,,,,,,,
gurucargo.com,https://www.crunchbase.com/organization/gurucargo-com,"Internet, Logistics, Shipping","Montevideo, NA - Uruguay, Uruguay",gurucargo.com is an one stop shop technology platform for cargo shipping.,"32,242",Latin America,Less than $1M,Active,2015-01-01,year,,,,,For Profit,https://www.gurucargo.com,https://www.twitter.com/gurucargo,https://www.facebook.com/gurucargo,https://www.linkedin.com/company/gurucargo-com,info@gurucargo.com,+598 2623 6685,6,,"Gurucargo is an innovative full-service “one-stop-shop” technology  platform that does for cargo shipping what Expedia.com did for travel industry – create an “end-to-end” solution that simpliﬁes the booking of sea, land and air based cargo shipping, with complete supply chain visibility at every step  of the way, reducing costs in time and money, while maximizing eﬃciency and transparency.",,,,,,,,,,,,,,"Internet Services, Transportation",3,"Alejandro Esperanza, Andres Israel, Eric Waizman",11-50,2,Early Stage Venture,2016-07-03,1300000,USD,1300000,Series A,1300000,USD,1300000,Series A,1300000,USD,1300000,1300000,USD,1300000,"Angel Ventures, Auria Capital, Asenza Capital, Eduardo Mangarelli, Martin Naor",1,5,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"33,461",10,,,17,,,,,,,,
Boki,https://www.crunchbase.com/organization/boki-ce7e,"Education, Enterprise Software, STEM Education, Video Games","Montevideo, NA - Uruguay, Uruguay","Boki is an app that has diverse educational content, segmented by area of knowledge and by school year.","37,382",Latin America,,Active,2018-09-16,day,,,,,For Profit,https://www.eduboki.com,https://twitter.com/edubokioficial,https://www.facebook.com/eduboki/,https://www.linkedin.com/company/boki/,contacto@eduboki.com,+59897462295,1,,"We are a team that has excelled in software, pedagogy, video games, the publishing world, and very motivated to positively impact the lives of millions of children. We have created Boki, a tool that is improving the learning experience in schools in Uruguay, Chile, and México, returning the natural enthusiasm to learn of thousands of school children.  Boki can be understood as a “Netflix” with educational content, which includes challenging and really fun activities and exercises that help children learn while enjoying, in a playful and interactive way.  Boki helps teachers to prepare the class, it is compatible with multiple platforms and easily adapts to national curricula.",,,,,,,,,,,,,,"Education, Gaming, Science and Engineering, Software",2,"Federico Bello, Nicolás Pereyra",1-10,5,,2020-06-01,100000,USD,100000,Grant,,,,,,,,217954,USD,217954,"Start-Up Chile, ANII, Expo 2020, Agencia Nacional de Desarrollo",4,4,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"38,770",23,,,,,,,,,,,
Scanntech,https://www.crunchbase.com/organization/scanntech,"Consumer Electronics, Information Technology, Software","Montevideo, NA - Uruguay, Uruguay",Scanntech provides point-of-sale software to retail stores.,"42,843",Latin America,$50M to $100M,Active,1992-01-01,year,,,,,For Profit,http://www.scanntech.com/scanntechcorp/home.php?lang=en,https://twitter.com/ScanntechUy,https://es-es.facebook.com/pages/Scanntech/417663868351028?,https://www.linkedin.com/company/scanntech,,598 29031511,2,,"Scanntech provides point-of-sale software to retail stores. The company offers tech solutions and connectivity in sales points to enables independent supermarkets to process transactions, run inventory management, and provide financial services to consumers through intelligence point of sale software. Scanntech was founded in 1992 and is based in Montevideo, Uruguay.",,,,,,,,,,,,,,"Consumer Electronics, Hardware, Information Technology, Software",1,Raul Polakof,101-250,2,Early Stage Venture,2014-06-10,,,,Series B,,,,Series B,10000000,USD,10000000,10000000,USD,10000000,"Sequoia Capital, International Finance Corporation, Endeavor Catalyst",2,3,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"44,426",49,,,13,,,,,,,,
MiFinanzas,https://www.crunchbase.com/organization/mifinanzas-srl-micheque,"Finance, Financial Services, FinTech, Information Technology, Personal Finance","Montevideo, NA - Uruguay, Uruguay",MiFinanzas is a financial company aimed to allow SMEs to get the cash in advance for their account receivables.,"44,222",Latin America,$1M to $10M,Active,2016-11-16,day,,,,,For Profit,http://MiFinanzas.com,https://twitter.com/mifinanzasuy,https://www.facebook.com/mifinanzasuy,https://www.linkedin.com/company/mifinanzasuy,milton.rodriguez@mifinanzas.com,+598 94 067620,43,,"MiFinanzas is a company dedicated to helping SMEs to solve their financial issues in an innovative way using P2P models. Thru our P2P web marketplace, companies can publish their account receivable. Investors will analyze, and opt to purchase those receivable and get short-term profit.  MiFinanzas takes care of the credit analysis risk, including verifications as well as company financial review to ensure a successful transaction for both parties.",,,,,,,,,,,,,,"Financial Services, Information Technology",4,"Gonzalo Mesorio, Milton Rodríguez, Monica Mesorio, Sebastian Pereira",11-50,2,Seed,2019-05-05,500000,USD,500000,Seed,500000,USD,500000,Seed,610000,USD,610000,610000,USD,610000,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,4,"45,842",10,,,,,,,,,,,
InfoCasas,https://www.crunchbase.com/organization/infocasas,"Internet, Marketplace, Real Estate","Montevideo, NA - Uruguay, Uruguay","InfoCasas is an online real estate marketplace that connects buyers, sellers and renters with properties in Uruguay, Paraguay, Bolivia &Peru","51,400",Latin America,$1M to $10M,Active,2011-09-09,day,2019-12-16,day,,,For Profit,http://www.infocasas.com.uy/,https://twitter.com/infocasasuy?lang=es,https://www.facebook.com/InfoCasasUY/?hc_ref=ARSthIVfRWfb4nByqB4NQSjvs8IMIgSfl3cIuoZ0hj66792pvkb_rE3lP4W-7dVnoMk&fref=nf,https://www.linkedin.com/company/9268176/,martin@infocasas.com.uy,+598 2605 5555,,,"Somos el portal inmobiliario líder en la Región, con presencia en Uruguay, Paraguay, Bolivia y Perú.  Brindamos soluciones de alta tecnología a quienes buscan comprar, vender o alquilar propiedades. Aplicamos big data y business intelligence analysis para desarrollar herramientas de gran usabilidad para la industria inmobiliaria.",,,,,,,,,,,,,,"Commerce and Shopping, Internet Services, Real Estate",2,"Alejandro Lopez, Ricardo Lorenzo Frechou Colucci",51-100,1,M&A,2017-09-08,952000,USD,952000,Series A,952000,USD,952000,Series A,952000,USD,952000,952000,USD,952000,,,,,Was Acquired,InfoCasas acquired by Frontier Digital Ventures,https://www.crunchbase.com/acquisition/frontier-digital-ventures-acquires-infocasas--42c47964,Frontier Digital Ventures,https://www.crunchbase.com/organization/frontier-digital-ventures,2019-12-16,day,,,,Leveraged Buyout,,Private,,,,,,,,,,,,,,,"53,298",37,,,,,,,,,,,
