,Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Operating Status,Founded Date,Founded Date Precision,Number of Articles,Full Description,Industry Groups,Number of Founders,Founders,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Events,CB Rank (Organization),BuiltWith - Active Tech Count,G2 Stack - Total Products Active,Country,City,State,isInTop100,minEstimatedRevenueRange,maxEstimatedRevenueRange,minNumberEmployees,maxNumberEmployees,isCompanyTypeForProfit,isCompanyPrivate,hasWebsite,hasTwitter,hasFacebook,hasLinkedIn,hasContactEmail,hasPhoneNumber
0,La Haus,https://www.crunchbase.com/organization/la-haus,"Information Technology, Marketplace, Real Estate, Residential","Medellín, Antioquia, Colombia",La Haus is a residential marketplace used to help people find an ideal home.,"1,457",Latin America,Active,01/04/2017,day,8.0,"La Haus offers an online residential platform designed to help people to find an ideal home. Its platform lists multiple properties to choose from and provides recommendations from real estate specialists on the best alternatives that are completely free, enabling users to get an organized way to find a home and save money. The company was founded in 2017 and is headquartered in Medellín, Antioquia.","Commerce and Shopping, Information Technology, Real Estate",5.0,"Jeronimo Uribe, Rodrigo Sanchez-Rios, Rodrigo Sánchez-Ríos, Santiago García, Tomás Uribe",7,Early Stage Venture,14/01/2021,35000000,USD,35000000,Series B,35000000.0,USD,35000000.0,Series B,57649998.0,USD,57649998.0,58174998,USD,58174998,"Greenspring Associates, NFX, Spencer Rascoff, Kaszek Ventures, Acrew Capital",3.0,12.0,0.0,"1,575",62.0,10.0,Colombia,Medellín,Antioquia,1,1000000.0,10000000.0,101.0,250.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1,Elenas,https://www.crunchbase.com/organization/elenas,"Beauty, Cosmetics, Direct Sales, E-Commerce","Bogotá, Distrito Especial, Colombia","Elenas is a Latin American social commerce platform, empowering micro-entrepreneurs to start their online store.","2,462",Latin America,Active,01/01/2018,year,7.0,"Elenas is Latin America's top social commerce platform. Our platform has empowered tens of thousands of women across Colombia to launch online businesses and earn extra income by selling products on WhatsApp, Facebook and other social media sites. Currently, 11 million women across Latin America sell consumer good products through direct sales catalogs and door-to-door sales. Elenas provides a digital solution for them to start an online store, manage clients, and grow their business from home, without having to worry about product sourcing, delivery, or payment collection.","Commerce and Shopping, Consumer Goods, Sales and Marketing",2.0,"Thomas Harsch, Zach Oschin",3,Early Stage Venture,04/03/2021,6000000,USD,6000000,Series A,6000000.0,USD,6000000.0,Series A,8540000.0,USD,8540000.0,8540000,USD,8540000,"FJ Labs, Polymath Ventures, Meesho, Alpha4 Ventures, Amador Holdings",1.0,6.0,0.0,"2,632",26.0,0.0,Colombia,Bogotá,Distrito Especial,0,0.0,0.0,2000.0,5000.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
2,Dondo,https://www.crunchbase.com/organization/crowdswap,,"Bogotá, Distrito Especial, Colombia",Get what you want giving what you have,"3,109",Latin America,Active,01/04/2019,day,12.0,,,4.0,"Carlos Sánchez, Daniel Marulanda, Jesus Marquez, Parker Irving",2,Seed,19/01/2021,2100000,USD,2100000,Seed,2100000.0,USD,2100000.0,Seed,2100000.0,USD,2100000.0,2100000,USD,2100000,"Alpha Edison, AME Cloud Ventures, Jerry Yang, Acequia Capital (Acecap), Ryan Smith",1.0,13.0,0.0,"3,311",7.0,0.0,Colombia,Bogotá,Distrito Especial,0,0.0,0.0,2000.0,5000.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
3,Aflore,https://www.crunchbase.com/organization/aflore,"Credit, Finance, Financial Services, FinTech","Bogotá, Distrito Especial, Colombia",Aflore is a developer of tech-enabled direct sales channel to help informal advisors realize goals through loans and financial products.,"3,449",Latin America,Active,01/01/2012,year,4.0,"Aflore is a financial services company empowering the un-banked of Colombia (65% of the population) to achieve financial goals. Aflore identifies and partners with trusted financial advisors within communities and mobilizes them with support and tools to distribute loans and financial products within their networks.  The company was founded in 2012 and is headquartered in Bogota, Colombia.","Financial Services, Lending and Investments",2.0,"Ana Barrera, Manuel Jimenez",12,,05/02/2021,6500000,USD,6500000,Venture - Series Unknown,6500000.0,USD,6500000.0,Venture - Series Unknown,10550000.0,USD,10550000.0,29092905,USD,29092905,"Polymath Ventures, Unreasonable Capital, Amador Holdings, Accial Capital, Women's World Banking",3.0,5.0,0.0,"3,661",47.0,10.0,Colombia,Bogotá,Distrito Especial,1,1000000.0,10000000.0,51.0,100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,Backstartup,https://www.crunchbase.com/organization/backstartup,"Accounting, Financial Services, Small and Medium Businesses","Bogotá, Distrito Especial, Colombia",SwaS (Software with a services) that automates and replaces the accountant for Latin Americas SMBs,"3,607",Latin America,Active,08/09/2014,day,2.0,"At Backstartup we want to reinvent the relationship of small businesses with their accounting and finances, and for this reason we've decided to reinvent the Accountant. Our SwaS, completely replaces the Accountant in Small Business, providing them with reports, taxes and financial statements month to month though our online platform. We eliminate manual tasks and human errors by using accounting automation bots and bank integrations and assign our customers a virtual administrative support team that accompanies them to guarantee a comprehensive service experience.  We are pioneers in Latin America, where paper culture is highly entrenched, in moving traditional offline behaviors to a 100% online experience.","Financial Services, Other, Professional Services",4.0,"Adriana Villamizar, Cristian Villamizar, Diego A Peñuela, Juana Barco",4,Seed,17/02/2021,1200000,USD,1200000,Seed,1200000.0,USD,1200000.0,Seed,2065000.0,USD,2065000.0,2105000,USD,2105000,"MassChallenge, 500 Startups, Alaya Capital Partners, devlabs, Life Is Too Short Capital",1.0,7.0,0.0,"3,824",44.0,33.0,Colombia,Bogotá,Distrito Especial,0,0.0,1000000.0,51.0,100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
5,Polymath Ventures,https://www.crunchbase.com/organization/polymath-ventures,"FinTech, Rental Property, Transportation","Bogotá, Distrito Especial, Colombia",Polymath Ventures is a Digital Venture Group that builds from scratch and scales disruptive tech ventures for Latin America's middle class.,"4,354",Latin America,Active,01/10/2011,day,10.0,"Polymath Ventures is a digital venture group that fuses business and design-thinking to build high-impact ventures for the emerging markets middle class. Ventures are designed in-house using a proprietary business design methodology, then founding teams are recruited to lead them. Polymath remains deeply involved in our companies throughout their life cycles, providing strategy, operations & design-thinking methodologies support.  Operating since 2012 and with offices in Bogota and Mexico City, Polymath has launched 9 ventures and raised US$30M+ of equity and debt financing across the group.","Financial Services, Real Estate, Transportation",2.0,"Carlos Fernandez de la Pradilla, Wenyi Cai",4,Early Stage Venture,01/01/2020,3700000,USD,3700000,Series B,3700000.0,USD,3700000.0,Series B,9425000.0,USD,9425000.0,9425000,USD,9425000,,0.0,0.0,0.0,"4,602",47.0,15.0,Colombia,Bogotá,Distrito Especial,0,1000000.0,10000000.0,2000.0,5000.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,Liftit,https://www.crunchbase.com/organization/liftit-co,"Freight Service, Internet, Last Mile Transportation, Logistics, Supply Chain Management, Transportation","Bogotá, Distrito Especial, Colombia",Liftit is the leading technology platform to automate and execute last-mile truck deliveries across Latin America.,"5,562",Latin America,Active,07/01/2017,day,8.0,"Liftit is a B2B logistics company that connects providers of cargo transportation services with companies or people who need this service. It is a marketplace that connects shippers who need to deliver home goods, electronics, construction materials, and anything that fits into a truck with independent truck drivers who can fulfill those needs. The company's platform is intended to use technological innovation to connect, optimize, measure analyze, and solve problems in the logistics industry. Founded in 2017, Liftit is headquartered in Bogotá, Colombia.","Internet Services, Transportation",3.0,"Angel Celis Botto, Brian York, Felipe Betancourt Celis",3,Early Stage Venture,08/07/2020,22500000,USD,22500000,Series B,22500000.0,USD,22500000.0,Series B,39000000.0,USD,39000000.0,39000000,USD,39000000,"Western Technology Investment, Monashees, Cambridge Capital, NXTP Ventures, Brian Requarth",3.0,26.0,0.0,"5,855",57.0,0.0,Colombia,Bogotá,Distrito Especial,1,0.0,1000000.0,251.0,500.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,Chiper,https://www.crunchbase.com/organization/chiper,"B2B, E-Commerce, Retail Technology","Cundinamarca, Distrito Especial, Colombia",Chiper is a Colombian e-commerce platform for independent merchants that enables corner stores in Latin America to grow and thrive.,"6,199",Latin America,Active,01/01/2018,year,19.0,"Chiper is Latin America’s top e-commerce platform enabling corner stores in the region to grow and thrive. With over 3,000 customers across Colombia and Mexico, the company has built the largest network of digitized corner stores in Latin America. Through its demand-driven logistics platform, Chiper provides a compelling customer experience to help member stores make smart decisions to optimize performance.","Commerce and Shopping, Hardware, Other, Software",3.0,"Carolina Garcia, Jose Jair Bonilla, Oscar Sarria Guerrero",3,Early Stage Venture,16/10/2020,12000000,USD,12000000,Series A,12000000.0,USD,12000000.0,Series A,25000000.0,USD,25000000.0,25000000,USD,25000000,"FJ Labs, Monashees, JAM Fund, Kaszek Ventures, Justin Mateen",4.0,9.0,0.0,"6,525",88.0,5.0,Colombia,Cundinamarca,Distrito Especial,1,50000000.0,100000000.0,101.0,250.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
8,Habi,https://www.crunchbase.com/organization/habi-fefd,"Home Renovation, Real Estate, Real Estate Investment, Residential, Software","Bogotá, Distrito Especial, Colombia",Habi is a digital platform that aims to simplify the process of buying and selling real estate properties in Colombia.,"7,387",Latin America,Active,01/07/2019,month,2.0,"Habi is a technology-driven real estate company that helps middle-class customers buy and sell their homes more quickly and efficiently, without the uncertainty of traditional real estate transactions. Using its proprietary pricing algorithm and scalable processes. It was founded in 2019 and headquartered in Bogotá, Distrito Especial.","Financial Services, Real Estate, Software",2.0,"Brynne Rojas, Sebastian Noguera Escallón",2,Early Stage Venture,26/08/2020,10000000,USD,10000000,Series A,10000000.0,USD,10000000.0,Series A,15500000.0,USD,15500000.0,15500000,USD,15500000,"FJ Labs, 8VC, Tiger Global Management, Flybridge, HOF Capital",2.0,15.0,0.0,"7,770",30.0,0.0,Colombia,Bogotá,Distrito Especial,1,1000000.0,10000000.0,2000.0,5000.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,Valiu,https://www.crunchbase.com/organization/valiu,"Cryptocurrency, Finance, Financial Services, FinTech","Bogotá, Distrito Especial, Colombia","Valiu is a developing a digital remittance platform that enables migrants to send money via cash, debit, or credit.","7,499",Latin America,Active,17/09/2018,day,6.0,"Valiu is a fintech company that provides borderless financial services to all Venezuelans. It has created a mobile application that allows access to a convenient dollar savings and transfer system for any migrant or family member, regardless of their socioeconomic status or the range of their phone.  The company was co-founded by Simon Chamorro, David Barinas, and Alberto Niego in 2018.","Financial Services, Payments, Software",3.0,"Alberto Niego, Omar David Barinas Orjuela, Simon Chamorro",2,Seed,04/12/2020,5250000,USD,5250000,Seed,5250000.0,USD,5250000.0,Seed,6477000.0,USD,6477000.0,6477000,USD,6477000,"Soma Capital, Y Combinator, Castle Island Ventures, Blockchange Ventures, Mercy Corps Ventures",3.0,9.0,0.0,"7,884",32.0,0.0,Colombia,Bogotá,Distrito Especial,1,1000000.0,10000000.0,2000.0,5000.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
