CBRank(Company)	NumberofArticles	NumberofFounders	NumberofFundingRounds	LastFundingAmountCurrency(inUSD)	LastEquityFundingAmountCurrency(inUSD)	TotalEquityFundingAmountCurrency(inUSD)	TotalFundingAmountCurrency(inUSD)	NumberofLeadInvestors	NumberofInvestors	NumberofEvents	CBRank(Organization)	BuiltWith-ActiveTechCount	G2Stack-TotalProductsActive	minEstimatedRevenueRange	maxEstimatedRevenueRange	minNumberEmployees	maxNumberEmployees	isCompanyTypeForProfit	isCompanyPrivate	hasWebsite	hasTwitter	hasFacebook	hasLinkedIn	hasContactEmail	hasPhoneNumber	isOperating	isInTop100
1.457	8	5	7	35000000	35000000	57649998	58174998	3	12	0	1.575	62	10	1000000	10000000	101	250	1	1	1	1	1	1	1	0	1	1
2.462	7	2	3	6000000	6000000	8540000	8540000	1	6	0	2.632	26	0	0	0	2000	5000	1	1	1	0	1	0	0	0	1	0
3.109	12	4	2	2100000	2100000	2100000	2100000	1	13	0	3.311	7	0	0	0	2000	5000	1	1	1	1	1	1	1	0	1	0
3.449	4	2	12	6500000	6500000	10550000	29092905	3	5	0	3.661	47	10	1000000	10000000	51	100	1	1	1	1	1	1	1	1	1	1
3.607	2	4	4	1200000	1200000	2065000	2105000	1	7	0	3.824	44	33	0	1000000	51	100	1	1	1	1	1	1	1	0	1	0
4.354	10	2	4	3700000	3700000	9425000	9425000	0	0	0	4.602	47	15	1000000	10000000	2000	5000	1	1	1	1	1	1	1	1	1	0
5.562	8	3	3	22500000	22500000	39000000	39000000	3	26	0	5.855	57	0	0	1000000	251	500	1	1	1	1	1	1	1	1	1	1
6.199	19	3	3	12000000	12000000	25000000	25000000	4	9	0	6.525	88	5	50000000	100000000	101	250	1	1	1	0	1	1	1	1	1	1
7.387	2	2	2	10000000	10000000	15500000	15500000	2	15	0	7.77	30	0	1000000	10000000	2000	5000	1	1	1	1	1	1	1	1	1	1
7.499	6	3	2	5250000	5250000	6477000	6477000	3	9	0	7.884	32	0	1000000	10000000	2000	5000	1	1	1	1	1	1	1	0	1	1
7.739	93	3	9	300000000	300000000	1692005447	1692005447	8	38	2	8.134	66	39	10000000	50000000	5001	10000	1	1	1	1	1	1	1	0	1	1
8.657	7	2	4	16000000	15000000	20000000	36000000	2	3	0	9.099	13	0	0	1000000	501	1000	1	1	1	0	0	1	1	0	1	0
9.826	1	2	3	30000000	0	0	30000000	2	3	0	10.301	6	18	1000000	10000000	101	250	1	1	1	0	0	1	1	1	1	1
10.269	1	3	1	4000000	4000000	4000000	4000000	1	2	0	10.758	32	0	0	0	101	250	1	1	1	1	1	1	1	1	1	0
10.777	10	3	4	200000000	1600000	1650000	201650000	2	2	0	11.276	17	0	1000000	10000000	101	250	1	1	1	1	1	1	1	1	1	0
11.647	2	2	4	7000000	7000000	7000000	7000000	1	10	0	12.179	53	0	0	0	2000	5000	1	1	1	0	1	1	1	1	1	0
12.053	3	0	2	20000000	0	0	145000000	3	3	0	12.604	32	0	0	0	251	500	1	1	1	1	1	1	1	1	1	0
12.766	14	2	6	5500000	5500000	10000000	12000000	1	1	0	13.344	14	0	1000000	10000000	51	100	1	1	1	1	1	1	1	1	1	1
13.445	7	1	5	3300000	3300000	5290000	5290000	2	2	0	14.048	29	0	0	1000000	101	250	1	1	1	0	1	1	1	1	1	0
13.719	0	1	1	2000000	2000000	2000000	2000000	0	21	0	14.332	0	0	0	0	2000	5000	1	1	0	0	1	1	1	1	1	0
13.776	1	2	4	1319970	750000	1300000	2619970	0	1	0	14.39	29	0	0	1000000	51	100	1	1	1	1	1	1	1	1	1	0
13.927	1	0	1	75000000	0	0	75000000	0	0	0	14.546	31	0	1000000000	10000000000	251	500	1	1	1	0	0	1	1	0	1	1
14.245	6	4	3	3300000	3300000	3450000	3450000	3	6	0	14.871	57	0	1000000	10000000	2000	5000	1	1	1	0	0	1	1	0	1	1
14.676	7	1	2	8700000	8700000	10000000	10000000	2	7	0	15.318	20	9	0	1000000	101	250	1	1	1	0	1	1	1	1	1	0
14.873	10	1	3	9000000	9000000	15000000	15000000	2	6	1	15.52	21	0	0	1000000	2000	5000	1	1	1	1	1	1	1	1	1	1
16.267	2	3	2	1000000	1000000	1300000	1300000	0	1	0	16.957	35	0	0	0	2000	5000	1	1	1	1	0	1	0	0	1	0
16.658	5	2	6	6500000	6500000	8800000	24000000	0	11	0	17.357	37	0	0	1000000	2000	5000	1	1	1	1	1	1	1	1	1	1
16.769	7	1	5	4500000	4500000	7000000	7496821	1	4	0	17.475	26	11	0	1000000	101	250	1	1	1	1	1	1	1	1	1	0
16.902	2	0	1	3000000	3000000	3000000	3000000	1	2	0	17.611	0	0	0	0	2000	5000	0	1	1	0	0	1	0	0	1	0
17.846	2	3	4	5200000	5200000	13700000	13700000	2	5	0	18.586	29	24	1000000	10000000	51	100	1	1	1	1	1	0	1	0	1	1
18.626	0	2	4	3000000	3500000	5950000	8950000	3	4	1	19.393	33	0	1000000	10000000	101	250	1	1	1	0	1	1	1	1	1	1
19.798	1	3	5	150000	150000	150000	459229	1	8	0	20.595	58	0	0	1000000	2000	5000	1	1	1	0	1	1	1	0	1	1
19.938	6	2	3	4009897	4009897	5495697	5495697	0	0	3	20.74	12	0	1000000	10000000	101	250	1	1	1	0	1	1	1	1	1	0
20.112	6	3	3	18000000	18000000	18000000	20500000	0	3	0	20.917	74	15	0	0	51	100	1	1	1	0	0	1	0	0	1	1
20.361	4	0	1	343700000	343700000	343700000	343700000	1	1	0	21.173	46	26	1000000	10000000	101	250	1	1	1	1	1	1	0	0	1	0
20.51	6	6	3	9000000	9000000	17200000	17200000	2	3	0	21.33	4	0	1000000	10000000	101	250	1	1	1	1	1	1	0	0	1	0
20.53	4	1	5	3000000	3000000	3500000	3500000	1	4	2	21.352	31	7	0	1000000	2000	5000	1	1	1	1	1	1	1	0	1	1
21.389	16	3	4	40000000	40000000	47700000	47700000	2	2	0	22.25	9	9	0	0	251	500	1	1	1	1	1	1	1	0	1	0
22.456	3	2	1	2500000	2500000	2500000	2500000	0	6	0	23.357	28	0	10000000	50000000	101	250	1	1	1	1	1	1	1	0	1	0
23	1	2	2	300000	300000	2200000	2200000	1	6	0	23.919	38	0	1000000	10000000	51	100	1	1	1	0	1	1	1	0	1	1
24.031	4	1	2	2275354	2275354	6275354	6275354	2	6	0	24.979	74	0	1000000	10000000	2000	5000	1	1	1	1	1	1	0	0	1	0
27.425	7	1	1	1335	1335	1335	1335	0	0	9	28.495	15	0	0	0	1000	2000	1	0	1	1	1	1	1	1	1	0
27.817	4	4	5	1300000	1300000	4110000	4110000	0	3	0	28.897	20	0	10000000	50000000	51	100	1	1	1	1	1	1	1	1	1	1
27.856	1	3	1	680000	680000	680000	680000	0	2	0	28.938	26	0	0	0	2000	5000	1	1	1	1	1	1	0	1	1	1
27.984	0	0	1	129564	129564	129564	129564	1	1	0	29.07	22	0	1000000	10000000	1000	2000	0	1	1	0	0	1	0	0	1	0
28.256	0	0	1	1200000	1200000	1200000	1200000	0	1	0	29.346	9	0	0	0	2000	5000	1	1	1	0	0	1	1	0	1	0
28.689	0	0	1	1500000	1500000	1500000	1500000	1	1	0	29.79	34	0	0	0	2000	5000	1	1	1	0	0	0	0	0	1	0
28.894	5	2	3	1200000	1200000	1820000	1820000	0	0	3	30.002	52	0	0	1000000	2000	5000	1	1	1	1	1	1	1	1	1	0
29.826	0	1	3	30000	30000	530000	530000	3	6	0	30.964	41	0	1000000	10000000	2000	5000	1	1	1	1	1	1	1	1	1	0
30.451	3	1	2	500000	500000	870000	870000	1	1	0	31.601	44	0	0	0	2000	5000	1	1	1	1	1	1	1	1	1	0
30.901	29	3	4	2000000	2000000	11700000	11700000	1	2	2	32.059	49	15	1000000	10000000	51	100	1	1	1	1	1	1	1	1	1	0
31.14	3	3	3	1300000	1300000	2800000	2800000	0	1	0	32.306	13	0	1000000	10000000	51	100	1	1	1	0	0	0	1	0	1	0
32.289	9	1	3	25000000	25000000	37000000	37000000	3	8	0	33.502	63	0	1000000	10000000	101	250	1	1	1	0	1	1	1	0	1	1
33.483	47	0	1	2000000000	0	0	2000000000	2	2	1	34.742	13	11	0	0	10000	99999	1	0	1	1	1	1	1	0	1	0
34.01	7	4	5	15000000	15000000	31300000	31300000	2	9	0	35.285	51	0	0	1000000	2000	5000	1	1	1	1	0	1	1	1	1	0
34.726	5	0	1	50000000	50000000	50000000	50000000	0	1	0	36.024	44	0	10000000	50000000	501	1000	1	1	1	0	0	0	0	0	1	0
34.762	2	1	1	100000	100000	100000	100000	0	0	0	36.062	28	0	0	0	1000	2000	1	1	1	0	0	0	1	0	1	0
34.928	5	3	2	1000000	1000000	1000000	1000000	0	2	1	36.232	56	26	0	1000000	2000	5000	1	1	1	1	1	1	1	1	1	1
37.673	0	0	1	2200000	2200000	2200000	2200000	0	0	0	39.068	23	0	0	0	2000	5000	1	1	1	0	0	1	0	0	1	0
39.617	2	3	4	2000000	2000000	2000000	2000000	1	3	0	41.078	28	0	0	0	2000	5000	1	1	1	1	1	1	1	0	1	0
41.465	1	0	1	420675	420675	420675	420675	1	1	0	42.989	11	0	1000000	10000000	2000	5000	1	1	1	0	0	0	0	0	1	0
42.371	0	0	1	43461	43461	43461	43461	0	1	0	43.931	17	0	0	0	1000	2000	1	1	1	0	1	1	1	1	1	0
42.523	0	0	1	600000	600000	600000	600000	1	5	0	44.09	0	0	0	0	2000	5000	1	1	1	0	1	1	1	1	1	0
43.154	0	1	5	46913	46913	125629	125629	0	0	0	44.749	68	0	0	0	1000	2000	1	1	1	1	1	1	1	1	1	0
44.001	0	0	2	200000	200000	235383	235383	0	2	0	45.617	1	0	0	0	0	0	1	1	1	0	0	0	0	0	1	0
44.183	5	0	1	76000	0	0	76000	0	0	2	45.803	82	0	0	0	51	100	1	1	1	1	1	1	1	0	1	0
45.297	2	1	4	2600000	2600000	3557000	3557000	1	1	0	46.957	30	15	1000000	10000000	2000	5000	1	1	1	1	1	0	1	1	1	0
46.283	0	3	1	200000	200000	200000	200000	0	1	0	47.979	12	0	0	1000000	1000	2000	1	1	1	0	1	0	1	0	1	1
46.937	0	0	1	247000000	247000000	247000000	247000000	1	1	0	48.658	51	0	50000000	100000000	5001	10000	1	1	1	0	0	1	1	0	1	0
47.378	0	3	2	150000	150000	150000	150000	0	2	0	49.116	53	19	1000000	10000000	1000	2000	1	1	1	1	1	1	0	0	1	0
47.534	6	1	2	700000	700000	910000	910000	1	2	0	49.279	43	20	0	0	2000	5000	1	1	1	0	1	1	1	1	1	0
47.641	0	1	2	34000000	34000000	34000000	34000000	2	2	0	49.391	25	16	1000000000	10000000000	10000	99999	1	1	1	1	1	1	1	0	1	0
47.703	9	4	2	20000000	20000000	46500000	46500000	1	5	0	49.456	13	10	500000000	1000000000	501	1000	1	1	1	0	1	0	1	1	1	0
49.057	5	2	1	100000000	100000000	100000000	100000000	0	0	0	50.861	31	0	10000000	50000000	2000	5000	1	0	1	0	1	1	1	1	1	0
