Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Twitter,Facebook,LinkedIn,Contact Email,Phone Number,Number of Articles,Hub Tags,Full Description,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Exits,Number of Exits (IPO),Accelerator Program Type,Accelerator Duration (in weeks),School Type,School Program,Number of Enrollments,Number of Founders (Alumni),Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Announced Date,Announced Date Precision,Price,Price Currency,Price Currency (in USD),Acquisition Type,Acquisition Terms,IPO Status,IPO Date,Delisted Date,Delisted Date Precision,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO Currency (in USD),Valuation at IPO,Valuation at IPO Currency,Valuation at IPO Currency (in USD),Stock Symbol,Stock Symbol URL,Stock Exchange,Last Leadership Hiring Date,Number of Events,CB Rank (Organization),BuiltWith - Active Tech Count,Apptopia - Number of Apps,Apptopia - Downloads Last 30 Days,G2 Stack - Total Products Active,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),School Method,Country,City,State,isInTop100
La Haus,https://www.crunchbase.com/organization/la-haus,"Information Technology, Marketplace, Real Estate, Residential","Medellín, Antioquia, Colombia",La Haus is a residential marketplace used to help people find an ideal home.,"1,457",Latin America,$1M to $10M,Active,01/04/2017,day,,,,,For Profit,https://www.lahaus.com,https://twitter.com/LaHausCom,https://www.facebook.com/LaHausco/,https://www.linkedin.com/company/la-haus/,comunidad@lahaus.com,,8,,"La Haus offers an online residential platform designed to help people to find an ideal home. Its platform lists multiple properties to choose from and provides recommendations from real estate specialists on the best alternatives that are completely free, enabling users to get an organized way to find a home and save money. The company was founded in 2017 and is headquartered in Medellín, Antioquia.",,,,,,,,,,,,,,"Commerce and Shopping, Information Technology, Real Estate",5,"Jeronimo Uribe, Rodrigo Sanchez-Rios, Rodrigo Sánchez-Ríos, Santiago García, Tomás Uribe",101-250,7,Early Stage Venture,14/01/2021,35000000,USD,35000000,Series B,35000000,USD,35000000,Series B,57649998,USD,57649998,58174998,USD,58174998,"Greenspring Associates, NFX, Spencer Rascoff, Kaszek Ventures, Acrew Capital",3,12,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"1,575",62,,,10,,,,,,,,,Colombia,Medellín,Antioquia,1
Elenas,https://www.crunchbase.com/organization/elenas,"Beauty, Cosmetics, Direct Sales, E-Commerce","Bogotá, Distrito Especial, Colombia","Elenas is a Latin American social commerce platform, empowering micro-entrepreneurs to start their online store.","2,462",Latin America,,Active,01/01/2018,year,,,,,For Profit,https://elenas.co/,,https://www.facebook.com/ElenasColombia,,,,7,,"Elenas is Latin America's top social commerce platform. Our platform has empowered tens of thousands of women across Colombia to launch online businesses and earn extra income by selling products on WhatsApp, Facebook and other social media sites. Currently, 11 million women across Latin America sell consumer good products through direct sales catalogs and door-to-door sales. Elenas provides a digital solution for them to start an online store, manage clients, and grow their business from home, without having to worry about product sourcing, delivery, or payment collection.",,,,,,,,,,,,,,"Commerce and Shopping, Consumer Goods, Sales and Marketing",2,"Thomas Harsch, Zach Oschin",Nov-50,3,Early Stage Venture,04/03/2021,6000000,USD,6000000,Series A,6000000,USD,6000000,Series A,8540000,USD,8540000,8540000,USD,8540000,"FJ Labs, Polymath Ventures, Meesho, Alpha4 Ventures, Amador Holdings",1,6,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"2,632",26,,,,,,,,,,,,Colombia,Bogotá,Distrito Especial,0
Dondo,https://www.crunchbase.com/organization/crowdswap,,"Bogotá, Distrito Especial, Colombia",Get what you want giving what you have,"3,109",Latin America,,Active,01/04/2019,day,,,,,For Profit,https://dondo.com,https://twitter.com/dondoapp,https://www.facebook.com/dondoapp/,https://www.linkedin.com/company/dondoapp/,jm@crowdswap.com,,12,,,,,,,,,,,,,,,,,4,"Carlos Sánchez, Daniel Marulanda, Jesus Marquez, Parker Irving",Nov-50,2,Seed,19/01/2021,2100000,USD,2100000,Seed,2100000,USD,2100000,Seed,2100000,USD,2100000,2100000,USD,2100000,"Alpha Edison, AME Cloud Ventures, Jerry Yang, Acequia Capital (Acecap), Ryan Smith",1,13,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"3,311",7,,,,,,,,,,,,Colombia,Bogotá,Distrito Especial,0
Aflore,https://www.crunchbase.com/organization/aflore,"Credit, Finance, Financial Services, FinTech","Bogotá, Distrito Especial, Colombia",Aflore is a developer of tech-enabled direct sales channel to help informal advisors realize goals through loans and financial products.,"3,449",Latin America,$1M to $10M,Active,01/01/2012,year,,,,,For Profit,http://www.aflore.co/,https://twitter.com/afloreco,https://www.facebook.com/afloreco,https://www.linkedin.com/company/aflore/about/,info@aflore.co,57 300 3227,4,,"Aflore is a financial services company empowering the un-banked of Colombia (65% of the population) to achieve financial goals. Aflore identifies and partners with trusted financial advisors within communities and mobilizes them with support and tools to distribute loans and financial products within their networks.  The company was founded in 2012 and is headquartered in Bogota, Colombia.",,,,,,,,,,,,,,"Financial Services, Lending and Investments",2,"Ana Barrera, Manuel Jimenez",51-100,12,,05/02/2021,6500000,USD,6500000,Venture - Series Unknown,6500000,USD,6500000,Venture - Series Unknown,10550000,USD,10550000,29092905,USD,29092905,"Polymath Ventures, Unreasonable Capital, Amador Holdings, Accial Capital, Women's World Banking",3,5,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"3,661",47,,,10,,,,,,,,,Colombia,Bogotá,Distrito Especial,1
Backstartup,https://www.crunchbase.com/organization/backstartup,"Accounting, Financial Services, Small and Medium Businesses","Bogotá, Distrito Especial, Colombia",SwaS (Software with a services) that automates and replaces the accountant for Latin Americas SMBs,"3,607",Latin America,Less than $1M,Active,08/09/2014,day,,,,,For Profit,https://backstartup.com/,https://twitter.com/backstartup,https://www.facebook.com/BackStartup,https://www.linkedin.com/company/backstartup,consulta@backstartup.com,,2,,"At Backstartup we want to reinvent the relationship of small businesses with their accounting and finances, and for this reason we've decided to reinvent the Accountant. Our SwaS, completely replaces the Accountant in Small Business, providing them with reports, taxes and financial statements month to month though our online platform. We eliminate manual tasks and human errors by using accounting automation bots and bank integrations and assign our customers a virtual administrative support team that accompanies them to guarantee a comprehensive service experience.  We are pioneers in Latin America, where paper culture is highly entrenched, in moving traditional offline behaviors to a 100% online experience.",,,,,,,,,,,,,,"Financial Services, Other, Professional Services",4,"Adriana Villamizar, Cristian Villamizar, Diego A Peñuela, Juana Barco",51-100,4,Seed,17/02/2021,1200000,USD,1200000,Seed,1200000,USD,1200000,Seed,2065000,USD,2065000,2105000,USD,2105000,"MassChallenge, 500 Startups, Alaya Capital Partners, devlabs, Life Is Too Short Capital",1,7,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"3,824",44,,,33,,,,,,,,,Colombia,Bogotá,Distrito Especial,0
Polymath Ventures,https://www.crunchbase.com/organization/polymath-ventures,"FinTech, Rental Property, Transportation","Bogotá, Distrito Especial, Colombia",Polymath Ventures is a Digital Venture Group that builds from scratch and scales disruptive tech ventures for Latin America's middle class.,"4,354",Latin America,$1M to $10M,Active,01/10/2011,day,,,,,For Profit,http://www.polymathv.com,http://twitter.com/polymathventure,http://www.facebook.com/polymathv,http://www.linkedin.com/company/3048239,info@polymathv.com,+57 3003227,10,Crunchbase Venture Program,"Polymath Ventures is a digital venture group that fuses business and design-thinking to build high-impact ventures for the emerging markets middle class. Ventures are designed in-house using a proprietary business design methodology, then founding teams are recruited to lead them. Polymath remains deeply involved in our companies throughout their life cycles, providing strategy, operations & design-thinking methodologies support.  Operating since 2012 and with offices in Bogota and Mexico City, Polymath has launched 9 ventures and raised US$30M+ of equity and debt financing across the group.","Incubator, Micro VC",,5,12,5,,,,,,,,,"Financial Services, Real Estate, Transportation",2,"Carlos Fernandez de la Pradilla, Wenyi Cai",Nov-50,4,Early Stage Venture,01/01/2020,3700000,USD,3700000,Series B,3700000,USD,3700000,Series B,9425000,USD,9425000,9425000,USD,9425000,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"4,602",47,,,15,,,,,,,,,Colombia,Bogotá,Distrito Especial,0
Liftit,https://www.crunchbase.com/organization/liftit-co,"Freight Service, Internet, Last Mile Transportation, Logistics, Supply Chain Management, Transportation","Bogotá, Distrito Especial, Colombia",Liftit is the leading technology platform to automate and execute last-mile truck deliveries across Latin America.,"5,562",Latin America,Less than $1M,Active,07/01/2017,day,,,,,For Profit,https://www.liftit.co/,https://www.twitter.com/liftitapp,https://www.facebook.com/liftit.co,https://www.linkedin.com/company/liftit-app/,hola@liftit.co,+57 317 3695065,8,,"Liftit is a B2B logistics company that connects providers of cargo transportation services with companies or people who need this service. It is a marketplace that connects shippers who need to deliver home goods, electronics, construction materials, and anything that fits into a truck with independent truck drivers who can fulfill those needs. The company's platform is intended to use technological innovation to connect, optimize, measure analyze, and solve problems in the logistics industry. Founded in 2017, Liftit is headquartered in Bogotá, Colombia.",,,,,,,,,,,,,,"Internet Services, Transportation",3,"Angel Celis Botto, Brian York, Felipe Betancourt Celis",251-500,3,Early Stage Venture,08/07/2020,22500000,USD,22500000,Series B,22500000,USD,22500000,Series B,39000000,USD,39000000,39000000,USD,39000000,"Western Technology Investment, Monashees, Cambridge Capital, NXTP Ventures, Brian Requarth",3,26,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"5,855",57,,,,,,,,,,,,Colombia,Bogotá,Distrito Especial,1
Chiper,https://www.crunchbase.com/organization/chiper,"B2B, E-Commerce, Retail Technology","Cundinamarca, Distrito Especial, Colombia",Chiper is a Colombian e-commerce platform for independent merchants that enables corner stores in Latin America to grow and thrive.,"6,199",Latin America,$50M to $100M,Active,01/01/2018,year,,,,,For Profit,https://chiper.co/,,https://www.facebook.com/chiper.colombia,https://www.linkedin.com/company/chipersas,info@chiper.co,+57 310 4719468,19,,"Chiper is Latin America’s top e-commerce platform enabling corner stores in the region to grow and thrive. With over 3,000 customers across Colombia and Mexico, the company has built the largest network of digitized corner stores in Latin America. Through its demand-driven logistics platform, Chiper provides a compelling customer experience to help member stores make smart decisions to optimize performance.",,,,,,,,,,,,,,"Commerce and Shopping, Hardware, Other, Software",3,"Carolina Garcia, Jose Jair Bonilla, Oscar Sarria Guerrero",101-250,3,Early Stage Venture,16/10/2020,12000000,USD,12000000,Series A,12000000,USD,12000000,Series A,25000000,USD,25000000,25000000,USD,25000000,"FJ Labs, Monashees, JAM Fund, Kaszek Ventures, Justin Mateen",4,9,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"6,525",88,,,5,,,,,,,,,Colombia,Cundinamarca,Distrito Especial,1
Habi,https://www.crunchbase.com/organization/habi-fefd,"Home Renovation, Real Estate, Real Estate Investment, Residential, Software","Bogotá, Distrito Especial, Colombia",Habi is a digital platform that aims to simplify the process of buying and selling real estate properties in Colombia.,"7,387",Latin America,$1M to $10M,Active,01/07/2019,month,,,,,For Profit,https://habi.co/,https://twitter.com/Habi_co_,https://www.facebook.com/habi.col,https://www.linkedin.com/company/habi-co/,info@habi.com,3167584531,2,,"Habi is a technology-driven real estate company that helps middle-class customers buy and sell their homes more quickly and efficiently, without the uncertainty of traditional real estate transactions. Using its proprietary pricing algorithm and scalable processes. It was founded in 2019 and headquartered in Bogotá, Distrito Especial.",,,,,,,,,,,,,,"Financial Services, Real Estate, Software",2,"Brynne Rojas, Sebastian Noguera Escallón",Nov-50,2,Early Stage Venture,26/08/2020,10000000,USD,10000000,Series A,10000000,USD,10000000,Series A,15500000,USD,15500000,15500000,USD,15500000,"FJ Labs, 8VC, Tiger Global Management, Flybridge, HOF Capital",2,15,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"7,770",30,,,,,,,,,,,,Colombia,Bogotá,Distrito Especial,1
Valiu,https://www.crunchbase.com/organization/valiu,"Cryptocurrency, Finance, Financial Services, FinTech","Bogotá, Distrito Especial, Colombia","Valiu is a developing a digital remittance platform that enables migrants to send money via cash, debit, or credit.","7,499",Latin America,$1M to $10M,Active,17/09/2018,day,,,,,For Profit,https://valiu.com,https://twitter.com/valiuco,https://www.facebook.com/pg/Valiu-688594454866755/about/,https://www.linkedin.com/company/valiu/,hola@valiu.co,,6,,"Valiu is a fintech company that provides borderless financial services to all Venezuelans. It has created a mobile application that allows access to a convenient dollar savings and transfer system for any migrant or family member, regardless of their socioeconomic status or the range of their phone.  The company was co-founded by Simon Chamorro, David Barinas, and Alberto Niego in 2018.",,,,,,,,,,,,,,"Financial Services, Payments, Software",3,"Alberto Niego, Omar David Barinas Orjuela, Simon Chamorro",Nov-50,2,Seed,04/12/2020,5250000,USD,5250000,Seed,5250000,USD,5250000,Seed,6477000,USD,6477000,6477000,USD,6477000,"Soma Capital, Y Combinator, Castle Island Ventures, Blockchange Ventures, Mercy Corps Ventures",3,9,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"7,884",32,,,,,,,,,,,,Colombia,Bogotá,Distrito Especial,1
